"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"One_class","UCE-102","HKY+F+R2","R2",-6759.8168,-4753.3139,"HKY{1,2.9412,1,1,2.9412,1}+F{0.323,0.2032,0.179,0.2949}",13601.6337,13605.4817,13800.1837,"Mixture",937,19,0.450373532550694,"42.26%",520,10,0.3125,34.1615,6.6686,14.6287,83.7017,NA,"1.9876","0.8266","0.4159","0.0012","0.011","0.0277","0.0585","0.0588","0.2896"
"Mixture","UCE-1025","TPM3u+FO+I+G4","I+G4",-7820.2725,-5112.7951,"TPM3u{1.8071,4.1766,1,1.8071,4.1766,1}+FO{0.3152,0.1892,0.1764,0.3193}",15724.5449,15728.7695,15926.1521,"Mixture",898,19,0.290645879732739,"46.55%",600,10,0.3125,33.4811,6.5712,16.0624,84.0153,NA,"2.5463","0.6211","0.2439","0.0015","0.0173","0.0283","0.0725","0.0795","0.6381"
"One_class","UCE-1025","TPM3u+F+I+G4","I+G4",-7821.0616,-5112.7951,"TPM3u{1.8007,4.1964,1,1.8007,4.1964,1}+F{0.3263,0.188,0.1699,0.3159}",15726.1231,15730.3477,15927.7303,"Mixture",898,19,0.290645879732739,"46.55%",600,10,0.3125,33.4882,6.5724,16.0624,84.0272,NA,"2.539","0.6199","0.2442","0.0012","0.0173","0.0285","0.0728","0.0796","0.6405"
"Mixture","UCE-1018","K3Pu+FO+R2","R2",-1228.0819,-1291.007,"K3Pu{1,2.372,0.2745,0.2745,2.372,1}+FO{0.2871,0.1732,0.2036,0.3362}",2668.1639,2782.7295,3062.5169,"Mixture",305,54,0.750819672131148,"12.46%",129,82,0.8542,76.8556,9.3462,138.6939,203.3576,NA,"0.508","0.1583","0.3116","0","0","0.0033","0.0053","0.0074","0.0497"
"One_class","UCE-1018","K3Pu+F+G4","G4",-1231.3466,-1291.007,"K3Pu{1,2.3491,0.2719,0.2719,2.3491,1}+F{0.301,0.1625,0.2021,0.3344}",2672.6932,2784.5525,3063.326,"Mixture",305,54,0.750819672131148,"12.46%",129,82,0.8542,76.828,9.3427,139.9214,203.2939,NA,"0.5296","0.1685","0.3182","0","0","0.003","0.0051","0.007","0.0494"
"Mixture","UCE-1014","MIX{TPM3u+FO,JC+FO}+G","G4",-1622.3052,-1552.7086,"TPM3u{21.242,100}+FO{0.375905,0.107261,0.132657,0.384178};JC",3496.6104,3645.4662,3979.7966,"Mixture",342,61,0.707602339181287,"16.08%",163,92,0.7931,89.3198,9.8399,189.3093,253.5953,NA,"0.6163","0.2283","0.3704","0","0","0.003","0.0052","0.0071","0.0274"
"One_class","UCE-1014","TPM3u+F+R2","R2",-1631.047,-1552.7086,"TPM3u{2.1393,6.0439,1,2.1393,6.0439,1}+F{0.3267,0.1709,0.1681,0.3343}",3514.0939,3662.9498,3997.2801,"Mixture",342,61,0.707602339181287,"16.08%",163,92,0.7931,89.2793,9.8375,209.5089,253.5909,NA,"0.6209","0.2256","0.3633","0","0","0.003","0.0052","0.0067","0.0293"
"Mixture","UCE-1004","TN+FO+G4","G4",-1570.7766,-1174.9911,"TN{1,1.8925,1,1,4.228,1}+FO{0.393,0.1527,0.2295,0.2248}",3371.5532,3543.6822,3785.7969,"Mixture",271,59,0.505535055350554,"18.82%",154,98,0.9245,84.2075,9.7796,164.3654,222.4424,NA,"1.0699","0.1934","0.1808","0","0","0.0038","0.0099","0.0076","0.2124"
"One_class","UCE-1004","TN+F+G4","G4",-1571.5002,-1174.9911,"TN{1,2.0629,1,1,3.7667,1}+F{0.4099,0.1567,0.1987,0.2347}",3373.0004,3545.1294,3787.244,"Mixture",271,59,0.505535055350554,"18.82%",154,96,0.9057,84.2033,9.7793,178.6365,222.4336,NA,"1.0772","0.2064","0.1916","0","0","0.0037","0.0098","0.0075","0.2097"
"Mixture","UCE-1037","MIX{TPM3u+FO,TIM3+FO}+G","G4",-5497.5249,-4586.7948,"TPM3u{5.1305,0.531799}+FO{0.920606,0.00749145,0.054115,0.0177875};TIM3{1.96752,7.97139,4.0505}+FO{0.213795,0.182884,0.232638,0.370683}",11091.0498,11095.9144,11327.384,"Mixture",1016,19,0.568897637795276,"29.04%",431,12,0.375,34.8187,6.8196,21.5407,85.5698,NA,"1.1484","0.5254","0.4575","0","0.0087","0.0203","0.0291","0.033","0.1782"
"One_class","UCE-1037","TPM3u+F+G4","G4",-5523.6401,-4586.7948,"TPM3u{1.9126,5.2952,1,1.9126,5.2952,1}+F{0.3421,0.1487,0.1982,0.311}",11129.2802,11132.8161,11331.149,"Mixture",1016,19,0.568897637795276,"29.04%",431,12,0.375,34.9422,6.8482,21.5407,86.1452,NA,"1.0188","0.441","0.4329","0","0.0096","0.0221","0.0328","0.0367","0.2182"
"Mixture","UCE-1021","TNe+G4","G4",-1020.8239,-1494.2588,"TNe{1,9.6982,1,1,3.9215,1}+G4{0.25,0.25,0.25,0.25}",2249.6478,2337.3586,2652.0546,"One_class",354,56,0.819209039548023,"5.08%",126,90,0.9184,78.5275,9.6245,201.5341,213.0331,NA,"0.2646","0.0434","0.164","0","0","0","0.0027","0.0028","0.0496"
"One_class","UCE-1021","TNe+R2","R2",-1013.5207,-1494.2588,"TNe{1,9.7814,1,1,4.2196,1}+R2{0.25,0.25,0.25,0.25}",2237.0414,2326.7995,2643.3176,"One_class",354,56,0.819209039548023,"5.08%",126,92,0.9388,78.5262,9.6241,199.7298,213.0241,NA,"0.2712","0.0434","0.16","0","0","0","0.0026","0.0028","0.047"
"Mixture","UCE-1005","HKY+FO+G4","G4",-1925.4715,-2156.6626,"HKY{1,2.7163,1,1,2.7163,1}+FO{0.2935,0.2568,0.1809,0.2687}",4122.943,4256.9862,4670.7889,"One_class",415,67,0.653012048192771,"13.49%",239,90,0.7031,94.5134,9.9928,204.6656,267.0594,NA,"0.7443","0.125","0.1679","0","0","0.0024","0.0056","0.0049","0.148"
"One_class","UCE-1005","HKY+F+G4","G4",-1922.7864,-2156.6626,"HKY{1,2.7178,1,1,2.7178,1}+F{0.3034,0.2484,0.1695,0.2786}",4117.5727,4251.6159,4665.4186,"One_class",415,67,0.653012048192771,"13.49%",239,98,0.7656,94.5517,9.9948,207.8846,267.0323,NA,"0.7401","0.1396","0.1886","0","0","0.0024","0.0057","0.0049","0.1476"
"Mixture","UCE-103","HKY+FO+G4","G4",-2821.0551,-2259.8454,"HKY{1,3.6614,1,1,3.6614,1}+FO{0.2999,0.2068,0.2203,0.273}",5746.1101,5757.0466,5970.8835,"Mixture",557,25,0.621184919210054,"22.26%",216,10,0.2273,42.9863,7.5254,20.9284,113.6665,NA,"0.754","0.2914","0.3865","0","0.0044","0.0111","0.016","0.021","0.057"
"One_class","UCE-103","TPM3u+F+G4","G4",-2817.9448,-2259.8454,"TPM3u{1.6438,4.6669,1,1.6438,4.6669,1}+F{0.3008,0.1994,0.2177,0.2822}",5741.8895,5753.2693,5970.9855,"Mixture",557,25,0.621184919210054,"22.26%",216,10,0.2273,42.9877,7.5257,20.9284,113.6732,NA,"0.7518","0.2901","0.3859","0","0.0044","0.0111","0.016","0.0209","0.057"
"Mixture","UCE-1040","HKY+FO+I+R2","I+R2",-7992.2889,-5917.6729,"HKY{1,2.6377,1,1,2.6377,1}+FO{0.2965,0.1729,0.2192,0.3115}",16176.5778,16195.428,16655.554,"Mixture",1085,49,0.48110599078341,"40.74%",620,78,0.907,71.2474,9.2695,196.1046,166.3195,NA,"3.7088","1.309","0.3529","0","0","0.0181","0.0416","0.0472","0.2863"
"One_class","UCE-1040","HKY+F+I+R2","I+R2",-7994.0296,-5917.6729,"HKY{1,2.6151,1,1,2.6151,1}+F{0.3033,0.1819,0.2171,0.2977}",16180.0593,16198.9095,16659.0355,"Mixture",1085,49,0.48110599078341,"40.74%",620,78,0.907,71.2532,9.2699,203.6296,166.3642,NA,"3.7045","1.3091","0.3534","0","0","0.0193","0.0417","0.047","0.2883"
"Mixture","UCE-1034","TPM2u+FO+G4","G4",-1310.7438,-1025.1848,"TPM2u{0.3034,2.3656,0.3034,1,2.3656,1}+FO{0.3023,0.2334,0.1561,0.3081}",2851.4876,3024.7344,3265.3061,"Mixture",270,57,0.718518518518519,"17.04%",114,84,0.7925,81.5779,9.4965,153.8051,228.0045,NA,"0.7138","0.2019","0.2829","0","0","0.0041","0.0066","0.009","0.0449"
"One_class","UCE-1034","TPM2u+F+G4","G4",-1311.4635,-1025.1848,"TPM2u{0.2774,2.2758,0.2774,1,2.2758,1}+F{0.3214,0.2419,0.1471,0.2896}",2852.9271,3026.1738,3266.7456,"Mixture",270,57,0.718518518518519,"17.04%",114,80,0.7547,81.602,9.4974,150.3862,227.9682,NA,"0.7185","0.214","0.2978","0","0","0.004","0.0065","0.0099","0.0444"
"Mixture","UCE-1017","TNe+I+R2","I+R2",-1914.3843,-1382.8759,"TNe{1,3.9799,1,1,1.7045,1}+I{0.25,0.25,0.25,0.25}",4072.7686,4234.1234,4528.2362,"One_class",309,63,0.495145631067961,"19.74%",162,104,0.9123,87.9911,9.8885,276.5773,233.8875,NA,"3.7533","0.3161","0.0842","0","0","0.0031","0.0306","0.0091","2.2806"
"One_class","UCE-1017","TIMe+R2","R2",-1913.2385,-1382.8759,"TIMe{1,2.9766,0.5625,0.5625,1.3473,1}+R2{0.25,0.25,0.25,0.25}",4070.477,4231.8319,4525.9447,"One_class",309,63,0.495145631067961,"19.74%",162,104,0.9123,87.827,9.8662,248.3787,234.079,NA,"3.5832","0.3135","0.0875","0","0","0.0031","0.0321","0.0095","2.4452"
"Mixture","UCE-1008","MIX{TPM2u+FO,TIM2e+FO,JC+FO}+G","G4",-4437.4034,-3243.8743,"TPM2u{0.0797217,1.30765}+FO{0.434512,0.189125,0.0249174,0.351446};TIM2e{0.612589,8.04191,1.9748}+FQ;JC",9214.8069,9339.8392,9972.1906,"Mixture",636,81,0.625786163522013,"26.73%",325,130,0.8333,111.5459,10.702,225.6147,328.5003,NA,"1.7074","0.5171","0.3029","0","0.0017","0.0055","0.0113","0.0133","0.1005"
"One_class","UCE-1008","TPM2u+F+I+G4","I+G4",-4455.8845,-3243.8743,"TPM2u{0.5157,3.903,0.5157,1,3.903,1}+F{0.3294,0.2305,0.1682,0.2718}",9243.7689,9361.9864,9983.3319,"Mixture",636,81,0.625786163522013,"26.73%",325,128,0.8205,111.4573,10.694,228.517,328.228,NA,"1.7966","0.547","0.3045","0","0.0017","0.0052","0.0107","0.0128","0.1035"
"Mixture","UCE-101","K2P+I+R2","I+R2",-3121.7795,-2953.4973,"K2P{1,3.6291,1,1,3.6291,1}+I{0.25,0.25,0.25,0.25}",6593.559,6754.8155,7350.3218,"Mixture",558,87,0.670250896057348,"18.64%",292,148,0.881,119.5548,11.1862,305.3752,349.3034,NA,"1.3454","0.3551","0.2639","0","0","0.0037","0.0079","0.0101","0.0622"
"One_class","UCE-101","K2P+I+R2","I+R2",-3121.7803,-2953.4973,"K2P{1,3.632,1,1,3.632,1}+I{0.25,0.25,0.25,0.25}",6593.5607,6754.8172,7350.3235,"Mixture",558,87,0.670250896057348,"18.64%",292,146,0.869,119.5359,11.1855,319.3055,349.3337,NA,"1.3462","0.3498","0.2598","0","0","0.0037","0.0079","0.0101","0.0622"
"Mixture","UCE-1012","TNe+R2","R2",-2237.3596,-2034.854,"TNe{1,5.4864,1,1,3.1833,1}+R2{0.25,0.25,0.25,0.25}",4736.7191,4866.2472,5259.2731,"Mixture",399,68,0.609022556390977,"18.55%",226,82,0.6613,93.2465,9.9083,171.5051,256.6089,NA,"0.9832","0.2671","0.2717","0","0","0.0029","0.0078","0.0092","0.2593"
"One_class","UCE-1012","TNe+R2","R2",-2237.3618,-2034.854,"TNe{1,5.5247,1,1,3.1774,1}+R2{0.25,0.25,0.25,0.25}",4736.7236,4866.2517,5259.2775,"Mixture",399,68,0.609022556390977,"18.55%",226,84,0.6774,93.2498,9.9083,200.2698,256.5981,NA,"0.9859","0.2729","0.2768","0","0","0.0029","0.0077","0.0093","0.2587"
"Mixture","UCE-1003","K2P+R2","R2",-1606.6513,-1396.046,"K2P{1,5.1467,1,1,5.1467,1}+R2{0.25,0.25,0.25,0.25}",3481.3026,3689.2336,3981.5703,"One_class",309,71,0.669902912621359,"19.09%",164,106,0.8281,96.0176,10.0574,260.6454,266.9805,NA,"0.7103","0.2262","0.3185","0","0","0.0033","0.0054","0.0067","0.0416"
"One_class","UCE-1003","K2P+R2","R2",-1606.2435,-1396.046,"K2P{1,5.1434,1,1,5.1434,1}+R2{0.25,0.25,0.25,0.25}",3480.487,3688.418,3980.7547,"One_class",309,71,0.669902912621359,"19.09%",164,106,0.8281,96.0172,10.0573,226.8744,266.9638,NA,"0.7107","0.2264","0.3186","0","0","0.0033","0.0054","0.0067","0.0415"
"Mixture","UCE-1010","HKY+FO+G4","G4",-2022.7207,-1449.0128,"HKY{1,3.4568,1,1,3.4568,1}+FO{0.3132,0.214,0.1918,0.2809}",4309.4413,4513.5809,4800.5225,"Mixture",305,65,0.583606557377049,"24.59%",185,88,0.7097,94.4239,10.1762,158.3035,259.1542,NA,"1.0345","0.27","0.261","0","0","0.0035","0.0082","0.011","0.0538"
"One_class","UCE-1010","HKY+F+G4","G4",-2024.4012,-1449.0128,"HKY{1,3.355,1,1,3.355,1}+F{0.3144,0.1979,0.1834,0.3043}",4312.8024,4516.942,4803.8836,"Mixture",305,65,0.583606557377049,"24.59%",185,88,0.7097,94.4264,10.1757,168.5942,259.141,NA,"1.0456","0.2641","0.2526","0","0","0.0035","0.0081","0.0107","0.0531"
"Mixture","UCE-1043","K2P+I","I",-1517.5637,-1543.0713,"K2P{1,6.0904,1,1,6.0904,1}+I{0.25,0.25,0.25,0.25}",3189.1273,3212.8196,3525.7414,"Mixture",585,41,0.871794871794872,"5.98%",98,46,0.6389,62.7439,8.786,65.8483,166.4872,NA,"0.1887","0.0512","0.2713","0","0","0.0017","0.0025","0.0035","0.0182"
"One_class","UCE-1043","K2P+I","I",-1517.5642,-1543.0713,"K2P{1,6.0753,1,1,6.0753,1}+I{0.25,0.25,0.25,0.25}",3189.1283,3212.8207,3525.7425,"Mixture",585,41,0.871794871794872,"5.98%",98,50,0.6944,62.744,8.786,70.8943,166.487,NA,"0.1887","0.0513","0.2719","0","0","0.0017","0.0025","0.0035","0.0182"
"Mixture","UCE-1039","MIX{HKY+FO,JC+FO,F81+FO,F81+FO}+G","G4",-3959.0501,-2621.4264,"HKY{6.76948}+FO{0.366988,0.190752,0.176076,0.266185};JC;F81+FO{0.531714,0.103603,0.09898,0.265703};F81+FO{9.99375e-05,0.0148336,0.0140021,0.971064}",8228.1001,8361.6913,8886.8463,"One_class",518,75,0.505791505791506,"31.47%",307,106,0.7681,100.4875,10.1723,216.6195,292.7436,NA,"1.8356","0.5396","0.294","0","0","0.0053","0.0125","0.016","0.1223"
"One_class","UCE-1039","HKY+F+G4","G4",-3986.6662,-2621.4264,"HKY{1,3.2622,1,1,3.2622,1}+F{0.323,0.1709,0.1526,0.3536}",8265.3325,8381.0306,8885.8289,"One_class",518,75,0.505791505791506,"31.47%",307,104,0.7536,100.4874,10.1761,196.3772,293.0919,NA,"1.7693","0.5043","0.285","0","0","0.006","0.013","0.0158","0.1247"
"Mixture","UCE-1058","TPM3u+FO+G4","G4",-6156.0889,-4752.6173,"TPM3u{1.7033,4.3165,1,1.7033,4.3165,1}+FO{0.3046,0.1823,0.1824,0.3307}",12374.1777,12376.1697,12527.1742,"Mixture",1028,14,0.476653696498055,"32.78%",457,0,0,26.4856,6.3625,0,58.5245,NA,"1.2882","0.4835","0.3753","0.0013","0.0129","0.0346","0.0515","0.0593","0.1852"
"One_class","UCE-1058","TPM3u+F+G4","G4",-6156.3765,-4752.6173,"TPM3u{1.6578,4.2693,1,1.6578,4.2693,1}+F{0.3105,0.1853,0.1787,0.3255}",12374.753,12376.7449,12527.7495,"Mixture",1028,14,0.476653696498055,"32.78%",457,0,0,26.486,6.3626,0,58.5252,NA,"1.2878","0.4834","0.3754","0.0013","0.0129","0.0347","0.0515","0.0593","0.1856"
"Mixture","UCE-1041","HKY+FO+I","I",-916.3996,-1382.3066,"HKY{1,2.9363,1,1,2.9363,1}+FO{0.3623,0.1659,0.1603,0.3116}",2048.7991,2156.7991,2458.1148,"Mixture",327,67,0.81039755351682,"5.50%",127,86,0.86,78.6188,9.4182,233.0279,212.2127,NA,"0.2796","0.0459","0.1642","0","0","0","0.0027","0.0031","0.1098"
"One_class","UCE-1041","HKY+F+I","I",-917.7613,-1382.3066,"HKY{1,2.9412,1,1,2.9412,1}+F{0.3506,0.1742,0.1527,0.3225}",2051.5226,2159.5226,2460.8383,"Mixture",327,67,0.81039755351682,"5.50%",127,86,0.86,78.6052,9.4174,218.9749,212.2191,NA,"0.2809","0.046","0.1638","0","0","0","0.0027","0.0031","0.1097"
"Mixture","UCE-1036","K3P+G4","G4",-1284.5465,-1279.2604,"K3P{1,2.8113,0.3797,0.3797,2.8113,1}+G4{0.25,0.25,0.25,0.25}",2801.0931,2950.2359,3230.3445,"Mixture",299,59,0.719063545150502,"15.38%",136,82,0.7455,85.1887,9.6717,167.7737,231.073,NA,"0.5308","0.1967","0.3706","0","0","0.0035","0.0047","0.007","0.047"
"One_class","UCE-1036","K3P+G4","G4",-1284.5474,-1279.2604,"K3P{1,2.816,0.3805,0.3805,2.816,1}+G4{0.25,0.25,0.25,0.25}",2801.0948,2950.2377,3230.3463,"Mixture",299,59,0.719063545150502,"15.38%",136,80,0.7273,85.1817,9.6714,182.6363,231.0735,NA,"0.5309","0.1968","0.3707","0","0","0.0035","0.0047","0.007","0.047"
"Mixture","UCE-1052","TPM3u+FO+I+R2","I+R2",-6464.0914,-6991.0969,"TPM3u{1.9509,4.8146,1,1.9509,4.8146,1}+FO{0.2923,0.1847,0.1933,0.3297}",13322.1828,13398.5902,14328.0226,"Mixture",1219,96,0.649712879409352,"20.26%",588,154,0.828,127.3249,11.1735,283.3708,382.8905,NA,"2.3045","0.5945","0.258","0","0","0.0049","0.0123","0.0133","0.5359"
"One_class","UCE-1052","TPM3u+F+I+R2","I+R2",-6468.0956,-6991.0969,"TPM3u{1.8697,4.724,1,1.8697,4.724,1}+F{0.3029,0.1944,0.1746,0.3281}",13330.1912,13406.5987,14336.0311,"Mixture",1219,96,0.649712879409352,"20.26%",588,150,0.8065,127.4038,11.1779,298.3538,382.7935,NA,"2.3191","0.6283","0.2709","0","0","0.0051","0.0122","0.0152","0.5385"
"Mixture","UCE-1048","HKY+FO+I+R2","I+R2",-1495.7249,-1443.02,"HKY{1,1.795,1,1,1.795,1}+FO{0.3606,0.1647,0.1796,0.295}",3243.4499,3398.8091,3723.2758,"Mixture",333,61,0.762762762762763,"14.41%",137,92,0.7931,89.0048,9.8631,210.0714,246.5086,NA,"0.622","0.2293","0.3686","0","0","0.0032","0.0052","0.0065","0.0732"
"One_class","UCE-1048","HKY+F+I+R2","I+R2",-1496.9272,-1443.02,"HKY{1,1.7166,1,1,1.7166,1}+F{0.355,0.1505,0.2033,0.2912}",3245.8543,3401.2135,3725.6803,"Mixture",333,61,0.762762762762763,"14.41%",137,94,0.8103,88.8526,9.8554,213.9159,246.61,NA,"0.62","0.2244","0.3619","0","0","0.0032","0.0052","0.0066","0.0727"
"Mixture","UCE-1056","TPM2u+FO+I+R2","I+R2",-3014.3562,-2749.9979,"TPM2u{0.5055,2.0968,0.5055,1,2.0968,1}+FO{0.3581,0.1693,0.147,0.3256}",6358.7124,6521.7481,7054.7814,"Mixture",502,80,0.47609561752988,"23.51%",338,130,0.8442,108.779,10.5145,269.7629,327.1511,NA,"3.1443","0.2857","0.0909","0","0","0.0025","0.0197","0.0081","1.5824"
"One_class","UCE-1056","TPM2u+F+I+R2","I+R2",-3018.1236,-2749.9979,"TPM2u{0.4701,2.047,0.4701,1,2.047,1}+F{0.3597,0.1652,0.1276,0.3475}",6366.2471,6529.2828,7062.3162,"Mixture",502,80,0.47609561752988,"23.51%",338,124,0.8052,108.766,10.5148,276.0489,327.2643,NA,"3.0991","0.2646","0.0854","0","0","0.0025","0.02","0.008","1.5987"
"Mixture","UCE-1065","MIX{K3Pu+FO,TPM3+FO,HKY+FO}+R2","R2",-8736.6931,-5328.3214,"K3Pu{1.58967,0.623703}+FO{0.30723,0.175971,0.159293,0.357506};TPM3{34.341,99.9978}+FQ;HKY{100}+FO{0.738401,0.19856,0.015447,0.0475925}",17573.3862,17578.5274,17820.8791,"Mixture",1043,19,0.438159156279962,"44.97%",594,10,0.3125,32.5875,6.3367,19.5959,79.9082,NA,"3.6649","1.3068","0.3566","0.0011","0.0141","0.0489","0.09","0.1582","0.3295"
"One_class","UCE-1065","TVM+F+I+R2","I+R2",-8767.3882,-5328.3214,"TVM{0.9142,2.14,0.4999,1.0517,2.14,1}+F{0.3544,0.1809,0.1505,0.3141}",17624.7763,17628.9288,17847.5199,"Mixture",1043,19,0.438159156279962,"44.97%",594,10,0.3125,33.0836,6.4421,19.5959,81.3612,NA,"3.1501","1.0981","0.3486","0.0011","0.0145","0.0517","0.1047","0.1747","0.3919"
