"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","UCE-1013","MIX{K3Pu+FO,K80+FO,F81+FO}+I+R2","I+R2",-13428.9257,-7562.0107,"K3Pu{1.94636,0.663156}+FO{0.257082,0.203269,0.195384,0.344266};K2P{40.0402}+FQ;F81+FO{0.604331,0.100222,0.230764,0.0646823}",26955.8514,26960.0216,27206.2755,"Mixture",1225,19,0.222857142857143,"63.92%",935,8,0.25,35.1528,6.8352,18.9209,91.1707,NA,"5.9332","1.9446","0.3277","0.0029","0.0348","0.0719","0.152","0.2627","0.5776"
"One_class","UCE-1013","TVM+F+I+R2","I+R2",-13459.3928,-7562.0107,"TVM{0.8785,2.1355,0.4618,0.9083,2.1355,1}+F{0.3277,0.1757,0.1807,0.3158}",27008.7855,27012.297,27238.7668,"Mixture",1225,19,0.222857142857143,"63.92%",935,8,0.25,35.8284,6.9435,18.0555,92.5484,NA,"5.3213","1.6397","0.3081","0.0034","0.0305","0.0669","0.1695","0.2785","0.7482"
"Mixture","UCE-1037","MIX{TPM2u+FO,TIM3+FO}+G","G4",-6720.7729,-6168.0581,"TPM2u{0.19874,0.1296}+FO{0.907995,0.0215366,0.0523184,0.0181498};TIM3{1.59186,6.65038,3.85864}+FO{0.223212,0.174762,0.23669,0.365337}",13537.5458,13541.5492,13782.82,"One_class",1224,19,0.537581699346405,"29.17%",594,8,0.25,39.2911,7.5767,18.2757,100.0347,NA,"1.3596","0.6288","0.4625","0","0.0111","0.0243","0.0354","0.045","0.2095"
"One_class","UCE-1037","TVM+F+G4","G4",-6736.7835,-6168.0581,"TVM{0.9969,3.4805,0.5456,1.5661,3.4805,1}+F{0.3398,0.1491,0.201,0.3101}",13559.567,13562.7738,13779.2918,"One_class",1224,19,0.537581699346405,"29.17%",594,8,0.25,39.4113,7.6025,18.2757,100.605,NA,"1.2384","0.543","0.4385","0","0.0107","0.0248","0.0388","0.0462","0.2514"
"Mixture","UCE-1025","MIX{TPM3u+FO,TPM3+FO,JC+FO}+G","G4",-11416.1093,-7886.6358,"TPM3u{5.16878,5.9269}+FO{0.344913,0.140509,0.143364,0.371214};TPM3{0.263823,3.08439}+FQ;JC",22922.2187,22925.6658,23153.001,"Mixture",1247,19,0.230152365677626,"51.32%",943,10,0.3125,37.0988,7.1825,16.0624,96.4629,NA,"3.7615","1.0234","0.2721","0.0023","0.0269","0.0478","0.1013","0.1254","0.772"
"One_class","UCE-1025","TPM3u+F+G4","G4",-11430.428,-7886.6358,"TPM3u{1.632,3.8961,1,1.632,3.8961,1}+F{0.3214,0.185,0.1751,0.3186}",22942.856,22945.7141,23153.1244,"Mixture",1247,19,0.230152365677626,"51.32%",943,10,0.3125,37.3014,7.2181,16.0624,96.9371,NA,"3.5439","0.9647","0.2722","0.0034","0.0273","0.0506","0.1075","0.1301","0.8504"
"Mixture","UCE-103","HKY+FO+I+G4","I+G4",-9611.055,-7645.5735,"HKY{1,3.0236,1,1,3.0236,1}+FO{0.3084,0.187,0.2104,0.2941}",19328.1101,19332.8603,19600.4279,"Mixture",1259,25,0.343923749007149,"46.78%",870,6,0.1364,45.5754,7.774,14.7648,125.2638,NA,"2.643","1.0212","0.3864","0","0.0117","0.0289","0.0562","0.0609","0.3726"
"One_class","UCE-103","HKY+F+I+G4","I+G4",-9611.4473,-7645.5735,"HKY{1,3.0212,1,1,3.0212,1}+F{0.3133,0.1837,0.2137,0.2893}",19328.8946,19333.6448,19601.2125,"Mixture",1259,25,0.343923749007149,"46.78%",870,6,0.1364,45.5766,7.7743,14.7648,125.2624,NA,"2.6425","1.0217","0.3866","0","0.0117","0.0288","0.0562","0.0609","0.3733"
"Mixture","UCE-1043","TPM2u+FO+G4","G4",-7173.8178,-6202.6221,"TPM2u{0.6288,3.069,0.6288,1,3.069,1}+FO{0.2945,0.1871,0.2003,0.3181}",14517.6356,14530.5966,14951.2781,"Mixture",1214,41,0.523064250411862,"29.41%",621,50,0.6579,70.6285,9.4489,62.0161,208.3355,NA,"1.4334","0.4723","0.3295","0","0.002","0.0069","0.0182","0.0212","0.1498"
"One_class","UCE-1043","TPM2u+F+G4","G4",-7176.5595,-6202.6221,"TPM2u{0.6463,3.0827,0.6463,1,3.0827,1}+F{0.3036,0.1878,0.2124,0.2962}",14523.119,14536.08,14956.7614,"Mixture",1214,41,0.523064250411862,"29.41%",621,48,0.6316,70.6266,9.4486,68.5565,208.3319,NA,"1.4363","0.4731","0.3294","0","0.0019","0.0069","0.0181","0.0211","0.1492"
"Mixture","UCE-1012","TPM3u+FO+I+R2","I+R2",-5619.6659,-5446.4104,"TPM3u{1.6202,4.5964,1,1.6202,4.5964,1}+FO{0.273,0.1871,0.2104,0.3295}",11521.3318,11563.9318,12224.4377,"Mixture",1082,68,0.641404805914972,"22.00%",469,94,0.7231,99.629,10.3026,198.6832,300.6367,NA,"2.0684","0.6327","0.3059","0","0","0.0054","0.0149","0.0171","0.5135"
"One_class","UCE-1012","TN+F+I+R2","I+R2",-5623.4811,-5446.4104,"TN{1,4.5158,1,1,2.9943,1}+F{0.2464,0.2159,0.2088,0.3289}",11528.9621,11571.5621,12232.068,"Mixture",1082,68,0.641404805914972,"22.00%",469,96,0.7385,99.6844,10.3095,193.8427,300.8687,NA,"1.9839","0.591","0.2979","0","0","0.0066","0.0156","0.018","0.5339"
"Mixture","UCE-1018","GTR+FO+I+G4","I+G4",-9434.8516,-6672.1833,"GTR{0.9295,2.1303,0.408,1.0029,2.9046,1}+FO{0.3108,0.1867,0.2262,0.2763}",19099.7032,19126.4099,19676.6133,"Mixture",1115,54,0.390134529147982,"46.19%",746,86,0.8431,83.241,9.7285,171.4176,234.7318,NA,"3.456","1.2588","0.3642","0","0","0.0116","0.0323","0.0363","0.3055"
"One_class","UCE-1018","TVM+F+I+G4","I+G4",-9445.4397,-6672.1833,"TVM{0.9942,2.5754,0.3631,1.2127,2.5754,1}+F{0.3117,0.17,0.2076,0.3106}",19118.8794,19145.0994,19690.7729,"Mixture",1115,54,0.390134529147982,"46.19%",746,84,0.8235,83.3005,9.7359,161.6075,234.8914,NA,"3.3949","1.2438","0.3664","0","0","0.0118","0.0329","0.0369","0.3187"
"Mixture","UCE-1058","TPM3u+FO+G4","G4",-7170.4878,-6206.9883,"TPM3u{1.6779,4.2111,1,1.6779,4.2111,1}+FO{0.2978,0.1834,0.1805,0.3383}",14402.9757,14404.6514,14561.1787,"Mixture",1216,14,0.462171052631579,"33.63%",614,2,0.0909,30.2581,7.2325,6.9282,66.9596,NA,"1.5104","0.6004","0.3975","0.001","0.0135","0.0377","0.0604","0.0764","0.2053"
"One_class","UCE-1058","TPM3u+F+G4","G4",-7171.0754,-6206.9883,"TPM3u{1.6291,4.1653,1,1.6291,4.1653,1}+F{0.3075,0.1846,0.1783,0.3296}",14404.1507,14405.8264,14562.3537,"Mixture",1216,14,0.462171052631579,"33.63%",614,2,0.0909,30.2589,7.2327,6.9282,66.9622,NA,"1.5095","0.5998","0.3974","0.001","0.0135","0.0377","0.0604","0.0765","0.2058"
"Mixture","UCE-1040","HKY+FO+I+R2","I+R2",-7992.2746,-5917.6729,"HKY{1,2.6447,1,1,2.6447,1}+FO{0.2964,0.1729,0.2191,0.3116}",16176.5492,16195.3994,16655.5253,"Mixture",1085,49,0.48110599078341,"40.74%",620,78,0.907,75.9163,10.2335,190.3786,182.5465,NA,"3.7104","1.3119","0.3536","0","0","0.0195","0.0416","0.0472","0.2868"
"One_class","UCE-1040","HKY+F+I+R2","I+R2",-7994.1316,-5917.6729,"HKY{1,2.6166,1,1,2.6166,1}+F{0.3033,0.1819,0.2171,0.2977}",16180.2633,16199.1135,16659.2395,"Mixture",1085,49,0.48110599078341,"40.74%",620,78,0.907,75.9175,10.2339,197.7878,182.5617,NA,"3.7031","1.3085","0.3534","0","0","0.0181","0.0417","0.047","0.2883"
"Mixture","UCE-1021","HKY+FO+R2","R2",-4580.6996,-5015.7812,"HKY{1,2.9459,1,1,2.9459,1}+FO{0.3085,0.2048,0.191,0.2958}",9387.3993,9415.0431,9947.0576,"One_class",1046,56,0.673996175908222,"16.44%",380,96,0.9231,86.7365,10.4273,228.206,247.0971,NA,"0.8148","0.3312","0.4065","0","0","0.0022","0.0081","0.012","0.0934"
"One_class","UCE-1021","HKY+F+I+R2","I+R2",-4572.0565,-5015.7812,"HKY{1,2.9625,1,1,2.9625,1}+F{0.3145,0.1987,0.2098,0.2769}",9372.1129,9400.2762,9936.724,"One_class",1046,56,0.673996175908222,"16.44%",380,96,0.9231,86.7154,10.4219,240.6325,246.3777,NA,"0.8688","0.3546","0.4081","0","0","0.0031","0.0076","0.0122","0.0846"
"Mixture","UCE-1005","TPM2u+FO+G4","G4",-6841.0433,-5618.2769,"TPM2u{0.6724,3.3238,0.6724,1,3.3238,1}+FO{0.329,0.208,0.1798,0.2832}",13956.0866,14001.9194,14623.284,"Mixture",963,67,0.462097611630322,"35.62%",611,86,0.6719,96.9447,10.2689,172.4123,283.3923,NA,"3.4462","0.82","0.2379","0","0","0.0099","0.0266","0.0261","0.5704"
"One_class","UCE-1005","TPM2u+F+G4","G4",-6847.0554,-5618.2769,"TPM2u{0.6861,3.3473,0.6861,1,3.3473,1}+F{0.3087,0.2307,0.1706,0.29}",13968.1108,14013.9436,14635.3082,"Mixture",963,67,0.462097611630322,"35.62%",611,86,0.6719,96.897,10.2652,202.9335,283.3059,NA,"3.4862","0.8228","0.236","0","0","0.0099","0.0263","0.0259","0.5598"
"Mixture","UCE-1014","K3Pu+FO+G4","G4",-7700.309,-6048.3953,"K3Pu{1,2.8827,0.7031,0.7031,2.8827,1}+FO{0.3161,0.1908,0.1975,0.2957}",15650.618,15682.6302,16277.1324,"Mixture",1110,61,0.509009009009009,"34.41%",609,90,0.7759,93.9865,10.3628,176.7484,274.8215,NA,"2.3479","0.9399","0.4003","0","0.007","0.0144","0.0198","0.0273","0.1332"
"One_class","UCE-1014","K3Pu+F+G4","G4",-7705.1663,-6048.3953,"K3Pu{1,2.8692,0.6749,0.6749,2.8692,1}+F{0.3183,0.1791,0.1861,0.3164}",15660.3325,15692.3447,16286.847,"Mixture",1110,61,0.509009009009009,"34.41%",609,88,0.7586,93.9175,10.3572,172.4819,275.2188,NA,"2.3564","0.9099","0.3861","0","0.007","0.0138","0.0197","0.0274","0.1329"
"Mixture","UCE-1034","HKY+FO+I+G4","I+G4",-8630.1366,-5773.3871,"HKY{1,3.3528,1,1,3.3528,1}+FO{0.284,0.2133,0.1967,0.3061}",17494.2732,17527.1446,18063.4603,"Mixture",958,57,0.307933194154488,"55.11%",694,84,0.7778,86.0351,9.8731,174.568,243.6059,NA,"4.3221","1.7304","0.4004","0","0","0.0222","0.039","0.0523","0.4186"
"One_class","UCE-1034","TIM2+F+I+G4","I+G4",-8631.7772,-5773.3871,"TIM2{0.6692,3.1408,0.6692,1,2.339,1}+F{0.3014,0.2265,0.1616,0.3105}",17501.5545,17535.6356,18080.4714,"Mixture",958,57,0.307933194154488,"55.11%",694,84,0.7778,86.1258,9.8773,193.5975,243.6886,NA,"4.3248","1.7736","0.4101","0","0","0.022","0.0389","0.0526","0.4229"
"Mixture","UCE-1003","TIM3+FO+G4","G4",-7754.5605,-6146.6933,"TIM3{1.5017,3.4365,1,1.5017,4.8446,1}+FO{0.2789,0.1935,0.2076,0.32}",15797.121,15842.2669,16513.5806,"Mixture",1070,71,0.489719626168224,"35.98%",640,106,0.791,103.3367,10.5077,233.583,308.4006,NA,"2.6752","1.0269","0.3839","0","0","0.0093","0.0195","0.0242","0.1656"
"One_class","UCE-1003","TN+F+G4","G4",-7764.5272,-6146.6933,"TN{1,2.6511,1,1,4.1815,1}+F{0.2687,0.2027,0.2379,0.2908}",15815.0545,15859.5296,16526.5386,"Mixture",1070,71,0.489719626168224,"35.98%",640,108,0.806,103.3391,10.508,233.5915,308.3497,NA,"2.6761","1.0271","0.3838","0","0","0.0089","0.0195","0.0252","0.1687"
"Mixture","UCE-1004","HKY+FO+G4","G4",-10695.7434,-6923.2063,"HKY{1,3.5688,1,1,3.5688,1}+FO{0.3668,0.1677,0.1889,0.2766}",21631.4869,21661.3942,22230.9788,"Mixture",1092,59,0.247252747252747,"56.04%",850,98,0.875,89.2296,9.9966,199.0879,243.537,NA,"5.7657","1.8094","0.3138","0","0","0.0177","0.0504","0.0568","0.7588"
"One_class","UCE-1004","TPM2u+F+G4","G4",-10695.125,-6923.2063,"TPM2u{0.7732,3.0403,0.7732,1,3.0403,1}+F{0.3866,0.1644,0.1889,0.2601}",21632.2499,21662.6871,22236.7377,"Mixture",1092,59,0.247252747252747,"56.04%",850,98,0.875,89.2301,9.9951,222.5713,243.3735,NA,"5.7923","1.8302","0.316","0","0","0.0177","0.0501","0.0569","0.7611"
"Mixture","UCE-1048","HKY+FO+I+G4","I+G4",-8108.9419,-6859.0499,"HKY{1,3.2417,1,1,3.2417,1}+FO{0.3166,0.1738,0.1821,0.3275}",16467.8837,16499.3209,17096.4089,"Mixture",1128,61,0.406914893617021,"39.98%",733,94,0.8103,94.0001,10.4021,196.2906,267.5962,NA,"2.1939","0.9494","0.4327","0","0","0.0096","0.0184","0.023","0.2398"
"One_class","UCE-1048","TIM3+F+I+G4","I+G4",-8105.1893,-6859.0499,"TIM3{1.3765,3.1609,1,1.3765,4.2308,1}+F{0.3301,0.1557,0.198,0.3161}",16464.3786,16496.8906,17102.9602,"Mixture",1128,61,0.406914893617021,"39.98%",733,94,0.8103,93.5393,10.3782,203.0222,267.8972,NA,"2.1851","0.8705","0.3984","0","0","0.0097","0.0184","0.0227","0.2417"
"Mixture","UCE-1008","MIX{K3Pu+FO,JC+FO,K80+FO}+I+G","I+G4",-7677.5717,-5839.0999,"K3Pu{1.92118,0.137661}+FO{0.404573,0.106162,0.0921043,0.397162};JC;K2P{11.2202}+FQ",15693.1434,15755.6678,16536.9629,"Mixture",1089,81,0.606978879706152,"30.30%",538,128,0.8205,118.4574,11.3263,217.7338,365.2412,NA,"2.6061","0.868","0.3331","0","0.0033","0.0085","0.0151","0.0181","0.1432"
"One_class","UCE-1008","TPM2u+F+I+G4","I+G4",-7713.4382,-5839.0999,"TPM2u{0.597,3.2607,0.597,1,3.2607,1}+F{0.3259,0.2228,0.1702,0.2811}",15758.8764,15819.0109,16587.7169,"Mixture",1089,81,0.606978879706152,"30.30%",538,130,0.8333,118.6404,11.3443,218.4079,365.9681,NA,"2.3938","0.8128","0.3395","0","0.0027","0.0091","0.0164","0.0189","0.1705"
"Mixture","UCE-1010","TPM2u+FO+G4","G4",-8041.0905,-5939.0327,"TPM2u{0.5961,2.6687,0.5961,1,2.6687,1}+FO{0.3402,0.1898,0.1817,0.2882}",16348.181,16386.5905,17008.9129,"One_class",1062,65,0.464218455743879,"38.14%",647,78,0.629,98.5668,10.6227,234.427,278.4871,NA,"3.0927","1.0184","0.3293","0","0","0.0134","0.0243","0.0354","0.1504"
"One_class","UCE-1010","TPM2u+F+G4","G4",-8040.2252,-5939.0327,"TPM2u{0.6368,2.7936,0.6368,1,2.7936,1}+F{0.3199,0.1921,0.1866,0.3014}",16346.4505,16384.86,17007.1824,"One_class",1062,65,0.464218455743879,"38.14%",647,78,0.629,98.5203,10.6199,236.6728,278.8789,NA,"3.0875","0.9613","0.3114","0","8e-04","0.014","0.0244","0.0343","0.1496"
"Mixture","UCE-1050","MIX{TVM+FO,JC+FO}+G","G4",-7105.0685,-6013.9228,"TVM{0.95264,4.62755,0.233116,0.340982}+FO{0.337288,0.203434,0.168797,0.290482};JC",14474.1369,14510.3349,15134.9011,"Mixture",1103,63,0.542157751586582,"28.47%",581,94,0.7833,94.3896,10.2661,199.5044,275.8001,NA,"2.3532","0.7138","0.3033","0","0","0.0097","0.0188","0.027","0.1623"
"One_class","UCE-1050","TVM+F+G4","G4",-7124.5825,-6013.9228,"TVM{1.0597,3.496,0.4271,1.234,3.496,1}+F{0.3208,0.1831,0.2008,0.2952}",14511.165,14546.7819,15166.9234,"Mixture",1103,63,0.542157751586582,"28.47%",581,94,0.7833,94.4253,10.2715,204.1078,275.9136,NA,"2.3083","0.7024","0.3043","0","0","0.0092","0.0191","0.0275","0.1674"
"Mixture","UCE-1038","TN+FO+R2","R2",-5732.6959,-5967.45,"TN{1,5.2737,1,1,3.2083,1}+FO{0.3321,0.2135,0.1863,0.2681}",11825.3917,11892.3598,12734.5698,"Mixture",1154,88,0.634315424610052,"16.03%",499,158,0.9294,125.9718,11.4658,314.5457,398.9477,NA,"2.4865","0.4632","0.1863","0","0","0.0032","0.0142","0.0121","0.9484"
"One_class","UCE-1038","TN+F+R2","R2",-5733.4669,-5967.45,"TN{1,5.2758,1,1,3.2948,1}+F{0.3323,0.202,0.1877,0.2781}",11826.9339,11893.902,12736.112,"Mixture",1154,88,0.634315424610052,"16.03%",499,162,0.9529,126.1114,11.4725,330.9426,398.6809,NA,"2.4615","0.4677","0.19","0","0","0.0032","0.0144","0.0121","0.9455"
"Mixture","UCE-1051","HKY+FO+G4","G4",-6870.845,-6034.0026,"HKY{1,3.5174,1,1,3.5174,1}+FO{0.3019,0.1951,0.2045,0.2985}",14005.6899,14042.4564,14664.6466,"Mixture",1088,65,0.492647058823529,"29.32%",604,96,0.7742,97.4275,10.479,194.5816,283.2736,NA,"2.7685","0.6147","0.222","0","0","0.0077","0.0219","0.0207","1.0461"
"One_class","UCE-1051","TIM3+F+G4","G4",-6866.7603,-6034.0026,"TIM3{1.4403,3.4446,1,1.4403,5.0001,1}+F{0.3109,0.1719,0.228,0.2892}",14001.5207,14039.485,14670.4616,"Mixture",1088,65,0.492647058823529,"29.32%",604,96,0.7742,97.4352,10.479,208.9402,283.3082,NA,"2.7773","0.615","0.2214","0","0","0.0077","0.0218","0.0207","1.0389"
"Mixture","UCE-1060","MIX{TPM3u+FO,TPM2+FO,F81+FO}+G","G4",-4750.5067,-3847.4571,"TPM3u{41.5338,4.62038}+FO{0.878405,0.0144292,0.0534877,0.0536778};TPM2{0.928965,3.61464}+FQ;F81+FO{0.0754842,0.121621,0.0735484,0.729347}",9713.0133,9744.7837,10212.3288,"One_class",821,48,0.556638246041413,"24.12%",386,74,0.8222,76.7422,10.3203,122.1434,187.7373,NA,"3.007","0.923","0.307","0","0.0051","0.0131","0.0259","0.0367","0.1887"
"One_class","UCE-1060","TPM2u+F+G4","G4",-4773.6671,-3847.4571,"TPM2u{0.6039,2.4587,0.6039,1,2.4587,1}+F{0.2961,0.1786,0.183,0.3422}",9745.3342,9772.7961,10211.676,"One_class",821,48,0.556638246041413,"24.12%",386,74,0.8222,77.0872,10.3824,142.1935,189.2704,NA,"2.4043","0.7035","0.2926","0","0.0016","0.0157","0.0323","0.0411","0.252"
"Mixture","UCE-1052","TPM3u+FO+I+R2","I+R2",-3355.4184,-4409.5492,"TPM3u{1.9485,4.1889,1,1.9485,4.1889,1}+FO{0.2824,0.1919,0.1778,0.348}",7104.8367,7227.6902,8035.6683,"One_class",833,96,0.765906362545018,"10.92%",342,148,0.7957,135.5408,11.9275,307.8945,433.3206,NA,"0.7775","0.1961","0.2522","0","0","0.0013","0.0042","0.0048","0.1973"
"One_class","UCE-1052","TPM2u+F+I+R2","I+R2",-3353.7216,-4409.5492,"TPM2u{0.5131,2.1715,0.5131,1,2.1715,1}+F{0.301,0.197,0.1723,0.3298}",7101.4431,7224.2967,8032.2748,"One_class",833,96,0.765906362545018,"10.92%",342,154,0.828,135.5231,11.9258,293.3786,433.2405,NA,"0.7898","0.1992","0.2522","0","0","0.0014","0.0041","0.0046","0.1919"
"Mixture","UCE-1065","MIX{K3Pu+FO,F81+FO}+R2","R2",-10584.7598,-7145.7945,"K3Pu{3.73462,0.211986}+FO{0.298248,0.185773,0.186308,0.329671};F81+FO{0.33425,0.213586,0.173467,0.278697}",21261.5195,21265.0551,21498.2711,"Mixture",1270,19,0.380314960629921,"46.46%",814,10,0.3125,37.0758,7.1328,19.7484,94.6573,NA,"4.0054","1.4053","0.3509","0.0023","0.018","0.0555","0.1047","0.1856","0.391"
"One_class","UCE-1065","TVM+F+R2","R2",-10608.2877,-7145.7945,"TVM{0.8676,2.1057,0.5098,1.0203,2.1057,1}+F{0.3507,0.1845,0.1559,0.3089}",21304.5754,21307.8081,21531.0334,"Mixture",1270,19,0.380314960629921,"46.46%",814,10,0.3125,37.357,7.1913,21.4942,95.6863,NA,"3.6648","1.2374","0.3376","0.0023","0.0195","0.0621","0.1144","0.2073","0.4321"
"Mixture","UCE-106","TPM3u+FO+G4","G4",-7262.4814,-5739.8908,"TPM3u{1.4972,3.8625,1,1.4972,3.8625,1}+FO{0.336,0.1973,0.2132,0.2536}",14598.9627,14601.3418,14787.9072,"Mixture",1220,17,0.531147540983607,"30.41%",571,6,0.2143,36.9598,7.7295,15.3623,87.0288,NA,"1.7101","0.4835","0.2827","0.0075","0.0114","0.0269","0.0548","0.0758","0.2536"
"One_class","UCE-106","TPM3u+F+G4","G4",-7267.1208,-5739.8908,"TPM3u{1.4507,3.7252,1,1.4507,3.7252,1}+F{0.3118,0.2018,0.2351,0.2513}",14608.2415,14610.6205,14797.186,"Mixture",1220,17,0.531147540983607,"30.41%",571,6,0.2143,36.9693,7.7312,15.3623,87.0548,NA,"1.7003","0.4798","0.2822","0.0075","0.0113","0.0269","0.0552","0.0762","0.2549"
"Mixture","UCE-1064","HKY+FO+G4","G4",-5132.913,-4054.9492,"HKY{1,2.9752,1,1,2.9752,1}+FO{0.2932,0.1884,0.2201,0.2983}",10457.8259,10485.7479,10903.1284,"Mixture",764,47,0.431937172774869,"35.21%",435,56,0.6364,73.0015,9.6434,147.1802,173.3584,NA,"2.6196","0.8178","0.3122","0","0.0076","0.0161","0.0286","0.0399","0.1485"
"One_class","UCE-1064","HKY+F+G4","G4",-5135.6128,-4054.9492,"HKY{1,3.0022,1,1,3.0022,1}+F{0.3195,0.176,0.2108,0.2937}",10463.2256,10491.1476,10908.5281,"Mixture",764,47,0.431937172774869,"35.21%",435,56,0.6364,73.0159,9.6453,135.6835,173.3973,NA,"2.6039","0.8138","0.3125","0","0.0077","0.0161","0.0288","0.0402","0.1496"
"Mixture","UCE-1055","TPM3u+FO+G4","G4",-6873.3059,-5644.498,"TPM3u{1.428,3.7455,1,1.428,3.7455,1}+FO{0.3279,0.1616,0.1754,0.3351}",13968.6119,13993.4759,14525.1565,"Mixture",1112,54,0.489208633093525,"31.92%",559,82,0.8039,82.4841,9.6545,153.4927,242.3947,NA,"1.942","0.652","0.3357","0","0","0.0078","0.0186","0.0214","0.1803"
