"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","UCE-1031","MIX{TPM2u+FO,F81+FO,HKY+FO,JC+FO}+I+R2","I+R2",-8489.1361,-6753.9427,"TPM2u{0.117528,6.03992}+FO{0.629081,0.0399628,0.0335804,0.297376};F81+FO{0.635395,0.136892,0.221684,0.00602833};HKY{3.15755}+FO{0.290516,0.197843,0.167706,0.343935};JC",17084.2721,17088.682,17360.3671,"One_class",1352,19,0.527366863905325,"31.73%",694,8,0.25,38.2236,7.5281,13.1149,98.5875,NA,"2.8838","1.0662","0.3697","0.0011","0.0146","0.0251","0.0692","0.1181","0.3093"
"One_class","UCE-1031","TVM+F+I+R2","I+R2",-8511.3258,-6753.9427,"TVM{0.8882,2.7072,0.5187,1.6001,2.7072,1}+F{0.3873,0.1667,0.1353,0.3107}",17112.6515,17115.8215,17347.0718,"One_class",1352,19,0.527366863905325,"31.73%",694,8,0.25,38.689,7.607,13.8564,99.9038,NA,"2.4224","0.848","0.3501","8e-04","0.0122","0.0346","0.0824","0.1336","0.3873"
"Mixture","UCE-1037","MIX{TPM2u+FO,TN+FO}+G","G4",-7148.9217,-7724.911,"TPM2u{0.188979,0.114318}+FO{0.900977,0.0247846,0.0588603,0.0153785};TN{5.53242,3.3578}+FO{0.237105,0.176212,0.251275,0.335408}",14391.8434,14395.0119,14640.6791,"Mixture",1472,19,0.59375,"24.25%",662,10,0.3125,39.6316,7.7525,19.1833,101.105,NA,"1.4439","0.6613","0.458","0.001","0.0112","0.0262","0.0373","0.0463","0.2182"
"One_class","UCE-1037","TVM+F+G4","G4",-7165.7903,-7724.911,"TVM{0.9802,3.5283,0.5508,1.5322,3.5283,1}+F{0.344,0.1473,0.2032,0.3054}",14417.5807,14420.2305,14645.2389,"Mixture",1472,19,0.59375,"24.25%",662,10,0.3125,39.7744,7.7808,21.587,101.7421,NA,"1.3042","0.5667","0.4345","0","0.0118","0.0289","0.0413","0.0476","0.2649"
"Mixture","UCE-1025","MIX{TPM3u+FO,TPM3+FO,JC+FO}+G","G4",-11994.5876,-10167.4955,"TPM3u{4.81721,5.64412}+FO{0.340597,0.142344,0.149507,0.367552};TPM3{0.241849,3.12562}+FQ;JC",24079.1752,24081.8324,24321.2867,"Mixture",1604,19,0.368453865336658,"39.90%",1045,8,0.25,37.2921,7.3667,14.9666,97.5938,NA,"3.8465","1.0505","0.2731","0.0016","0.0274","0.0484","0.1036","0.1282","0.7887"
"One_class","UCE-1025","TPM3u+F+G4","G4",-12009.7475,-10167.4955,"TPM3u{1.6089,3.8798,1,1.6089,3.8798,1}+F{0.3205,0.1849,0.1758,0.3188}",24101.495,24103.6998,24322.0854,"Mixture",1604,19,0.368453865336658,"39.90%",1045,8,0.25,37.5042,7.4011,14.9666,98.074,NA,"3.6255","0.9912","0.2734","0.0027","0.0281","0.0511","0.1099","0.133","0.8685"
"Mixture","UCE-1027","MIX{TIM3+FO,K80+FO,TPM3+FO}+I+G","I+G4",-11824.2394,-10615.9097,"TIM3{4.89148,9.62608,5.69595}+FO{0.349443,0.142434,0.136994,0.371128};K2P{15.7923}+FQ;TPM3{0.353799,1.27722}+FQ",23740.4788,23743.0758,23990.968,"Mixture",1712,18,0.419976635514019,"40.77%",1058,8,0.2667,36.2543,7.3327,15.7797,90.8223,NA,"4.093","1.7518","0.428","0.0019","0.0226","0.0474","0.1146","0.176","0.8075"
"One_class","UCE-1027","TIM3+F+I+G4","I+G4",-11845.8658,-10615.9097,"TIM3{1.3439,4.3691,1,1.3439,3.1614,1}+F{0.3035,0.1967,0.1765,0.3233}",23773.7316,23775.7939,23996.9937,"Mixture",1712,18,0.419976635514019,"40.77%",1058,8,0.2667,36.5211,7.3842,15.7797,91.7069,NA,"3.7808","1.5469","0.4091","0.0019","0.023","0.048","0.124","0.1878","0.9533"
"Mixture","UCE-103","HKY+FO+I+G4","I+G4",-11970.1313,-12902.3898,"HKY{1,3.0123,1,1,3.0123,1}+FO{0.3073,0.1914,0.208,0.2933}",24046.2627,24049.0159,24346.5227,"Mixture",2133,25,0.478668541959681,"28.41%",1099,4,0.0909,45.6112,7.9276,13.1149,125.8615,NA,"2.931","1.1048","0.3769","0","0.0125","0.0309","0.0623","0.0724","0.4109"
"One_class","UCE-103","HKY+F+I+G4","I+G4",-11970.8906,-12902.3898,"HKY{1,3.0157,1,1,3.0157,1}+F{0.3122,0.1862,0.2121,0.2895}",24047.7812,24050.5344,24348.0413,"Mixture",2133,25,0.478668541959681,"28.41%",1099,4,0.0909,45.6122,7.9279,13.1149,125.8588,NA,"2.9303","1.1054","0.3772","0","0.0125","0.0309","0.0624","0.0723","0.4116"
"Mixture","UCE-1043","TPM2u+FO+G4","G4",-7763.4267,-7868.5919,"TPM2u{0.6165,3.0261,0.6165,1,3.0261,1}+FO{0.2797,0.1945,0.1943,0.3315}",15696.8535,15707.4631,16146.4123,"Mixture",1464,41,0.566939890710383,"25.00%",722,44,0.5789,70.8298,9.5681,67.6314,208.4894,NA,"1.5513","0.5104","0.329","0","0.0026","0.0072","0.0196","0.0221","0.1592"
"One_class","UCE-1043","TPM2u+F+G4","G4",-7772.2574,-7868.5919,"TPM2u{0.6214,3.0062,0.6214,1,3.0062,1}+F{0.3024,0.1886,0.2117,0.2973}",15714.5148,15725.1244,16164.0737,"Mixture",1464,41,0.566939890710383,"25.00%",722,48,0.6316,70.8312,9.5682,56.8155,208.4902,NA,"1.5516","0.5105","0.329","0","0.0024","0.0072","0.0196","0.0221","0.1586"
"Mixture","UCE-1012","TPM3u+FO+I+R2","I+R2",-6532.25,-7163.5431,"TPM3u{1.6149,4.7224,1,1.6149,4.7224,1}+FO{0.2732,0.1789,0.2153,0.3326}",13346.5001,13380.2071,14078.7038,"Mixture",1330,68,0.648872180451128,"20.60%",600,94,0.7231,99.7903,10.3683,189.5996,301.2043,NA,"2.5552","0.7918","0.3099","0","0","0.0075","0.0182","0.0209","0.5817"
"One_class","UCE-1012","TN+F+I+R2","I+R2",-6535.1785,-7163.5431,"TN{1,4.7726,1,1,2.8987,1}+F{0.2463,0.2145,0.2114,0.3278}",13352.357,13386.0641,14084.5608,"Mixture",1330,68,0.648872180451128,"20.60%",600,98,0.7538,99.9229,10.3785,182.0412,301.575,NA,"2.4245","0.7525","0.3104","0","0","0.0083","0.0192","0.0214","0.6376"
"Mixture","UCE-1010","TPM2u+FO+G4","G4",-9449.5348,-8112.4102,"TPM2u{0.6714,2.8388,0.6714,1,2.8388,1}+FO{0.3297,0.1909,0.1907,0.2887}",19165.0696,19194.5031,19857.2214,"Mixture",1345,65,0.455762081784387,"34.87%",864,84,0.6774,98.5313,10.5809,237.3394,277.7016,NA,"3.7596","1.141","0.3035","0","0","0.0161","0.0299","0.0422","0.2073"
"One_class","UCE-1010","TPM2u+F+G4","G4",-9451.0908,-8112.4102,"TPM2u{0.6863,2.8895,0.6863,1,2.8895,1}+F{0.3189,0.1928,0.1889,0.2994}",19168.1816,19197.6151,19860.3335,"Mixture",1345,65,0.455762081784387,"34.87%",864,84,0.6774,98.5992,10.5831,265.4016,277.1427,NA,"3.8005","1.2093","0.3182","0","0","0.0163","0.0296","0.0408","0.2063"
"Mixture","UCE-1021","HKY+FO+R2","R2",-5847.7909,-7160.717,"HKY{1,2.637,1,1,2.637,1}+FO{0.32,0.2052,0.1727,0.3021}",11921.5819,11942.5453,12509.4826,"Mixture",1343,56,0.648548026805659,"16.90%",557,92,0.8846,86.7953,10.3918,217.7384,245.5847,NA,"1.2407","0.5759","0.4642","0","0","0.0028","0.0116","0.018","0.1128"
"One_class","UCE-1021","HKY+F+R2","R2",-5855.7995,-7160.717,"HKY{1,2.5662,1,1,2.5662,1}+F{0.3165,0.1983,0.2061,0.2791}",11937.5991,11958.5624,12525.4998,"Mixture",1343,56,0.648548026805659,"16.90%",557,94,0.9038,86.7962,10.3922,294.5709,246.3169,NA,"1.2395","0.5548","0.4476","0","0","0.0025","0.0116","0.0175","0.1131"
"Mixture","UCE-1014","HKY+FO+G4","G4",-8326.4582,-7591.081,"HKY{1,3.2929,1,1,3.2929,1}+FO{0.3182,0.1943,0.1982,0.2894}",16900.9163,16926.6639,17544.7469,"Mixture",1329,61,0.54928517682468,"29.72%",722,90,0.7759,94.1963,10.4247,191.8333,276.294,NA,"2.5465","1.0117","0.3973","0","0.0065","0.0157","0.0221","0.031","0.1462"
"One_class","UCE-1014","TPM3u+F+I+G4","I+G4",-8321.6235,-7591.081,"TPM3u{1.4763,4.0017,1,1.4763,4.0017,1}+F{0.3191,0.1796,0.1867,0.3146}",16895.2471,16921.8727,17549.462,"Mixture",1329,61,0.54928517682468,"29.72%",722,90,0.7759,94.0313,10.4046,196.3721,276.2575,NA,"2.6298","0.9787","0.3722","0","0.0065","0.0151","0.0214","0.0296","0.1397"
"Mixture","UCE-1048","TPM3u+FO+I+G4","I+G4",-9415.3764,-9765.4484,"TPM3u{1.372,3.5506,1,1.372,3.5506,1}+FO{0.3038,0.1595,0.1815,0.3551}",19082.7527,19105.499,19755.0426,"Mixture",1534,61,0.477835723598435,"32.66%",958,94,0.8103,93.8729,10.4877,196.1071,268.8229,NA,"2.3628","0.9554","0.4044","0","0","0.0132","0.0199","0.0264","0.2388"
"One_class","UCE-1048","TN+F+I+G4","I+G4",-9422.57,-9765.4484,"TN{1,2.7201,1,1,3.5918,1}+F{0.3248,0.1567,0.1987,0.3197}",19097.14,19119.8862,19769.4298,"Mixture",1534,61,0.477835723598435,"32.66%",958,94,0.8103,93.8712,10.4873,197.0939,268.8651,NA,"2.3633","0.952","0.4028","0","0","0.0119","0.0199","0.025","0.238"
"Mixture","UCE-1034","TPM3u+FO+I+R2","I+R2",-11855.7667,-10131.7632,"TPM3u{1.3369,3.6145,1,1.3369,3.6145,1}+FO{0.2895,0.2029,0.2022,0.3054}",23949.5335,23969.8032,24584.0854,"Mixture",1529,57,0.337475474166122,"48.33%",1138,80,0.7407,85.668,9.8082,197.3271,241.4491,NA,"5.4446","2.2798","0.4187","0","0","0.0298","0.0479","0.0636","0.5136"
"One_class","UCE-1034","TIM2+F+I+R2","I+R2",-11859.7138,-10131.7632,"TIM2{0.7221,3.1118,0.7221,1,2.2464,1}+F{0.3014,0.2227,0.1708,0.3051}",23959.4276,23980.0526,24599.3119,"Mixture",1529,57,0.337475474166122,"48.33%",1138,80,0.7407,85.889,9.8257,206.4074,241.1214,NA,"5.3153","2.3203","0.4365","0","0","0.0306","0.0491","0.0637","0.5277"
"Mixture","UCE-1005","TPM2u+FO+G4","G4",-9344.9376,-9524.5049,"TPM2u{0.6871,3.1681,0.6871,1,3.1681,1}+FO{0.329,0.1981,0.1842,0.2887}",18963.8752,18991.9256,19690.5017,"Mixture",1486,67,0.481157469717362,"31.76%",978,88,0.6875,97.2334,10.231,182.4993,282.1619,NA,"4.2471","1.2663","0.2982","0","0","0.0123","0.0327","0.0315","0.6289"
"One_class","UCE-1005","TPM2u+F+G4","G4",-9353.6594,-9524.5049,"TPM2u{0.6831,3.1317,0.6831,1,3.1317,1}+F{0.3108,0.2258,0.1734,0.29}",18981.3188,19009.3692,19707.9453,"Mixture",1486,67,0.481157469717362,"31.76%",978,86,0.6719,96.7802,10.1966,176.4993,282.2862,NA,"4.2893","1.0568","0.2464","0","0","0.0121","0.0324","0.0299","0.6138"
"Mixture","UCE-1018","MIX{GTR+FO,K81u+FO}+I+R2","I+R2",-10787.695,-9225.4247,"GTR{1.23591,1.274,1.54451,1.66753,10.7805}+FO{0.55704,0.113353,0.289159,0.0404478};K3Pu{2.06556,0.633921}+FO{0.196669,0.223916,0.209458,0.369957}",21819.3899,21841.8877,22464.0544,"Mixture",1457,54,0.427590940288264,"38.98%",972,84,0.8235,83.2061,9.7394,172.1976,233.6293,NA,"4.0892","1.5789","0.3861","0","0","0.0129","0.0373","0.041","0.35"
"One_class","UCE-1018","TVM+F+I+G4","I+G4",-10830.452,-9225.4247,"TVM{1.0636,2.5897,0.387,1.1301,2.5897,1}+F{0.3104,0.1741,0.2087,0.3069}",21888.904,21908.442,22491.2953,"Mixture",1457,54,0.427590940288264,"38.98%",972,82,0.8039,83.3594,9.76,162.3484,234.4549,NA,"3.9119","1.4967","0.3826","0","0","0.0134","0.0389","0.0412","0.3904"
"Mixture","UCE-1008","MIX{K3Pu+FO,K80+FO,JC+FO}+I+G","I+G4",-8500.019,-7235.8889,"K3Pu{1.63399,0.144741}+FO{0.410777,0.110452,0.100572,0.378199};K2P{10.8941}+FQ;JC",17338.0381,17389.7572,18209.3,"Mixture",1281,81,0.615144418423107,"28.96%",659,126,0.8077,118.8787,11.3191,212.0802,364.7568,NA,"2.8685","1.0115","0.3526","0","0.0039","0.0103","0.0178","0.0223","0.1579"
"One_class","UCE-1008","TPM2u+F+G4","G4",-8539.5206,-7235.8889,"TPM2u{0.6249,3.1439,0.6249,1,3.1439,1}+F{0.3252,0.2227,0.1712,0.2809}",17409.0412,17458.1713,18259.6816,"Mixture",1281,81,0.615144418423107,"28.96%",659,122,0.7821,118.8967,11.3224,211.5892,365.184,NA,"2.8275","0.9865","0.3489","0","0.0035","0.01","0.018","0.0225","0.1726"
"Mixture","UCE-1058","TPM3u+FO+G4","G4",-7355.7248,-6963.5074,"TPM3u{1.6957,4.2572,1,1.6957,4.2572,1}+FO{0.2925,0.1841,0.1811,0.3423}",14773.4497,14774.9865,14934.2671,"Mixture",1323,14,0.494331065759637,"30.91%",661,4,0.1818,29.4547,7.0088,8.4853,66.3641,NA,"1.5313","0.6096","0.3981","0.001","0.0139","0.038","0.0612","0.0784","0.2082"
"One_class","UCE-1058","TPM3u+F+G4","G4",-7356.8983,-6963.5074,"TPM3u{1.6345,4.2012,1,1.6345,4.2012,1}+F{0.3061,0.1849,0.1785,0.3305}",14775.7965,14777.3333,14936.6139,"Mixture",1323,14,0.494331065759637,"30.91%",661,4,0.1818,29.4561,7.0092,8.4853,66.3686,NA,"1.5296","0.6086","0.3979","0.001","0.0139","0.038","0.0613","0.0785","0.2089"
"Mixture","UCE-1040","HKY+FO+I+R2","I+R2",-9702.5464,-9263.7831,"HKY{1,2.776,1,1,2.776,1}+FO{0.2928,0.1708,0.2183,0.3181}",19597.0928,19609.9814,20109.813,"Mixture",1542,49,0.48313878080415,"32.17%",896,76,0.8837,76.0065,10.3014,171.6304,180.6006,NA,"4.4854","1.788","0.3986","0","0","0.0207","0.0502","0.0713","0.3577"
"One_class","UCE-1040","HKY+F+I+R2","I+R2",-9705.9148,-9263.7831,"HKY{1,2.7253,1,1,2.7253,1}+F{0.3003,0.1821,0.2179,0.2997}",19603.8295,19616.7181,20116.5497,"Mixture",1542,49,0.48313878080415,"32.17%",896,76,0.8837,76.02,10.3021,147.8242,180.7215,NA,"4.47","1.7834","0.399","0","0","0.0222","0.0504","0.0718","0.3612"
"Mixture","UCE-1038","TN+FO+I+R2","I+R2",-6926.4928,-7972.2864,"TN{1,5.5189,1,1,3.1442,1}+FO{0.3413,0.2035,0.1942,0.261}",14214.9855,14268.2897,15166.503,"Mixture",1418,88,0.614950634696756,"16.43%",688,158,0.9294,125.8607,11.4061,307.4671,398.0403,NA,"3.3854","0.6149","0.1816","0","0","0.0043","0.0195","0.0154","1.3275"
"One_class","UCE-1038","TN+F+I+R2","I+R2",-6929.9626,-7972.2864,"TN{1,5.619,1,1,3.0389,1}+F{0.3332,0.2013,0.189,0.2764}",14221.9252,14275.2294,15173.4427,"Mixture",1418,88,0.614950634696756,"16.43%",688,158,0.9294,126.2997,11.4316,352.4699,397.6741,NA,"3.3759","0.7352","0.2178","0","0","0.0039","0.0196","0.0152","1.3255"
"Mixture","UCE-1052","TPM3u+FO+I+R2","I+R2",-6529.9316,-7266.9534,"TPM3u{1.9715,4.8336,1,1.9715,4.8336,1}+FO{0.2923,0.1831,0.1939,0.3308}",13453.8633,13527.5986,14465.5937,"Mixture",1256,96,0.656050955414013,"19.67%",611,154,0.828,135.0115,11.9074,260.7067,428.896,NA,"2.3121","0.6165","0.2666","0","0","0.0053","0.0122","0.0152","0.5441"
"One_class","UCE-1052","TPM3u+F+I+R2","I+R2",-6533.2654,-7266.9534,"TPM3u{1.9131,4.8491,1,1.9131,4.8491,1}+F{0.3029,0.1943,0.1747,0.3282}",13460.5307,13534.2661,14472.2611,"Mixture",1256,96,0.656050955414013,"19.67%",611,156,0.8387,135.1177,11.9099,273.4813,428.7794,NA,"2.3069","0.6147","0.2665","0","0","0.0051","0.0122","0.0153","0.543"
"Mixture","UCE-1036","MIX{HKY+FO,K80+FO}+I+R2","I+R2",-11345.5225,-11040.2239,"HKY{2.69726}+FO{0.314933,0.217358,0.178226,0.289482};K2P{100}+FQ",22939.045,22958.6157,23614.0593,"Mixture",1709,59,0.440608543007607,"37.51%",1106,80,0.7143,89.2736,10.1381,140.7977,246.2741,NA,"4.5746","1.7851","0.3902","0","0.0048","0.0218","0.0396","0.0454","0.387"
"One_class","UCE-1036","TN+F+I+G4","I+G4",-11367.8647,-11040.2239,"TN{1,3.7419,1,1,2.9054,1}+F{0.2795,0.2447,0.1873,0.2884}",22979.7295,22998.6526,23643.8565,"Mixture",1709,59,0.440608543007607,"37.51%",1106,78,0.6964,89.303,10.1497,144.8309,246.0107,NA,"4.5581","1.8904","0.4147","0","0.0023","0.0224","0.0398","0.0452","0.3923"
"Mixture","UCE-1055","TPM2u+FO+G4","G4",-7536.3732,-6941.9928,"TPM2u{0.7204,2.5718,0.7204,1,2.5718,1}+FO{0.3337,0.1691,0.1743,0.3228}",15294.7464,15316.0341,15866.9087,"Mixture",1280,54,0.49296875,"29.22%",691,82,0.8039,83.747,9.8174,155.0742,245.0144,NA,"2.1654","0.7372","0.3404","0","0","0.0085","0.0207","0.0243","0.2009"
"One_class","UCE-1055","TPM2u+F+G4","G4",-7536.8241,-6941.9928,"TPM2u{0.7122,2.5436,0.7122,1,2.5436,1}+F{0.3355,0.1752,0.173,0.3163}",15295.6482,15316.9359,15867.8105,"Mixture",1280,54,0.49296875,"29.22%",691,82,0.8039,83.743,9.8168,169.1981,244.9835,NA,"2.1697","0.7381","0.3402","0","0","0.0084","0.0206","0.0242","0.2003"
"Mixture","UCE-1004","TPM2u+FO+I+G4","I+G4",-12206.2092,-10412.6576,"TPM2u{0.7314,2.8558,0.7314,1,2.8558,1}+FO{0.3747,0.1649,0.1873,0.2731}",24656.4184,24675.8562,25317.5097,"Mixture",1667,59,0.406118776244751,"40.13%",1101,98,0.875,89.2168,9.9428,215.8055,242.9008,NA,"6.598","2.0979","0.318","0","0","0.0188","0.0574","0.0591","0.8784"
"One_class","UCE-1004","TPM2u+F+I+G4","I+G4",-12207.6992,-10412.6576,"TPM2u{0.7379,2.8476,0.7379,1,2.8476,1}+F{0.3801,0.1673,0.1919,0.2607}",24659.3984,24678.8362,25320.4897,"Mixture",1667,59,0.406118776244751,"40.13%",1101,98,0.875,89.2074,9.9414,203.0369,242.8253,NA,"6.6006","2.0839","0.3157","0","0","0.0188","0.0574","0.059","0.8772"
"Mixture","UCE-1050","MIX{TPM3u+FO,JC+FO}+G","G4",-7766.5395,-7252.709,"TPM3u{1.66334,8.45069}+FO{0.320459,0.207503,0.18485,0.287188};JC",15793.079,15823.0087,16462.0569,"Mixture",1269,63,0.554767533490938,"26.48%",695,98,0.8167,94.6918,10.3566,188.8544,277.405,NA,"2.5258","0.7483","0.2963","0","0","0.0104","0.0204","0.029","0.1738"
"One_class","UCE-1050","TVM+F+G4","G4",-7775.4805,-7252.709,"TVM{1.1597,3.6357,0.493,1.2789,3.6357,1}+F{0.3202,0.1836,0.2018,0.2944}",15812.9609,15843.3778,16487.0849,"Mixture",1269,63,0.554767533490938,"26.48%",695,90,0.75,94.5433,10.3539,234.9936,277.2407,NA,"2.509","0.7739","0.3084","0","0","0.0118","0.0205","0.0297","0.1822"
"Mixture","UCE-1060","TPM3u+FO+G4","G4",-8250.0643,-7674.4999,"TPM3u{1.7115,3.9467,1,1.7115,3.9467,1}+FO{0.2816,0.1707,0.1929,0.3549}",16698.1286,16714.4383,17211.0309,"Mixture",1314,48,0.436073059360731,"30.97%",820,72,0.8,75.4339,10.1517,137.9384,179.7693,NA,"5.4673","1.7516","0.3204","0","0.0128","0.0279","0.0586","0.0726","0.4353"
"One_class","UCE-1060","TPM3u+F+G4","G4",-8253.0473,-7674.4999,"TPM3u{1.5445,3.7558,1,1.5445,3.7558,1}+F{0.2952,0.1804,0.1838,0.3406}",16704.0946,16720.4044,17216.9969,"Mixture",1314,48,0.436073059360731,"30.97%",820,70,0.7778,75.452,10.1535,127.6832,179.8042,NA,"5.4466","1.7378","0.3191","0","0.0127","0.0279","0.0588","0.0728","0.4397"
"Mixture","UCE-1039","MIX{TPM3u+FO,K80+FO}+I+G","I+G4",-10287.1009,-8590.9564,"TPM3u{1.72403,3.08688}+FO{0.346489,0.153181,0.160424,0.339906};K2P{45.072}+FQ",20874.2019,20911.6709,21656.4879,"Mixture",1360,75,0.397058823529412,"36.69%",932,106,0.7681,107.0584,10.8952,196.6215,328.4198,NA,"3.2614","0.9598","0.2943","0","0","0.0104","0.0227","0.025","0.1857"
"One_class","UCE-1039","TPM3u+F+I+G4","I+G4",-10300.3688,-8590.9564,"TPM3u{1.5504,3.7253,1,1.5504,3.7253,1}+F{0.3312,0.1669,0.154,0.348}",20896.7376,20933.1571,21668.5931,"Mixture",1360,75,0.397058823529412,"36.69%",932,108,0.7826,107.0634,10.8978,192.3512,328.7967,NA,"3.1982","0.9043","0.2828","0","0","0.0105","0.0231","0.0255","0.1894"
"Mixture","UCE-1065","MIX{K3Pu+FO,TPM3+FO}+R2","R2",-11299.2257,-9751.2286,"K3Pu{1.58148,0.580499}+FO{0.335343,0.181992,0.168129,0.314536};TPM3{24.8458,95.5645}+FQ",22688.4514,22690.9712,22932.8865,"Mixture",1689,19,0.486086441681468,"34.93%",959,8,0.25,37.2005,7.2882,18.868,95.8809,NA,"4.0832","1.4168","0.347","0.0023","0.0188","0.0554","0.1114","0.1991","0.4088"
"One_class","UCE-1065","TVM+F+I+R2","I+R2",-11319.7605,-9751.2286,"TVM{0.8794,2.1546,0.4965,1.0111,2.1546,1}+F{0.35,0.1848,0.157,0.3082}",22729.521,22732.0407,22973.9561,"Mixture",1689,19,0.486086441681468,"34.93%",959,8,0.25,37.3847,7.323,18.868,96.357,NA,"3.9001","1.3361","0.3426","0.0024","0.0193","0.0583","0.1167","0.2114","0.4322"
