"Locus_name","tree_1","tree_2","RF_distance","nRF_distance","wRF_distance","KF_distance","SPR_distance","path_distance","geodesic_distance"
"UCE-1056","One_class","Mixture",90,0.5844,0.2047,0.037,18,0.3243,NA
"UCE-1044","One_class","Mixture",54,0.5294,0.1323,0.0834,12,0.6133,NA
"UCE-1055","One_class","Mixture",44,0.4314,0.0377,0.0118,9,0.0512,NA
"UCE-1060","One_class","Mixture",18,0.1957,0.0231,0.0067,6,0.0437,NA
"UCE-1051","One_class","Mixture",84,0.6667,0.2268,0.0462,13,0.3587,NA
"UCE-1038","One_class","Mixture",96,0.6154,0.3406,0.0601,15,0.7708,NA
"UCE-1050","One_class","Mixture",28,0.2333,0.024,0.0071,6,0.0709,NA
"UCE-106","One_class","Mixture",4,0.1333,0.0319,0.0108,1,0.0359,NA
"UCE-1065","One_class","Mixture",0,0,0.5396,0.1458,0,1.5349,NA
"UCE-1054","One_class","Mixture",40,0.4082,0.0962,0.0225,6,0.2042,NA
"UCE-1053","One_class","Mixture",120,0.6383,0.3712,0.068,25,1.1743,NA
"UCE-1059","One_class","Mixture",44,0.4151,0.0795,0.0195,11,0.1123,NA
"UCE-1064","One_class","Mixture",14,0.1556,0.0199,0.0073,3,0.0475,NA
"UCE-1083","One_class","Mixture",2,0.1111,0.0456,0.0155,1,0.0748,NA
"UCE-1062","One_class","Mixture",76,0.717,1.8017,1.4841,16,10.3428,NA
"UCE-1063","One_class","Mixture",62,0.3735,0.2042,0.0408,11,0.341,NA
"UCE-1061","One_class","Mixture",70,0.5303,0.112,0.0256,14,0.1388,NA
"UCE-1069","One_class","Mixture",50,0.4237,0.0142,0.0058,12,0.0394,NA
"UCE-1068","One_class","Mixture",50,0.5556,0.0392,0.0123,11,0.077,NA
"UCE-1084","One_class","Mixture",46,0.4259,0.5466,0.0993,10,0.7342,NA
"UCE-1088","One_class","Mixture",34,0.5,0.4778,0.1322,6,2.1203,NA
"UCE-1070","One_class","Mixture",72,0.4615,0.9334,0.1689,10,1.5694,NA
"UCE-1085","One_class","Mixture",62,0.5439,1.3153,0.2229,7,2.4138,NA
"UCE-1092","One_class","Mixture",6,0.0769,0.1261,0.0226,3,0.2915,NA
"UCE-1077","One_class","Mixture",58,0.4754,0.1647,0.0365,10,0.4056,NA
"UCE-1100","One_class","Mixture",0,0,0.0303,0.0093,0,0.0818,NA
"UCE-1072","One_class","Mixture",28,0.2745,2e-04,0,8,4e-04,NA
"UCE-1081","One_class","Mixture",26,0.2453,0.0413,0.0142,6,0.1287,NA
"UCE-110","One_class","Mixture",2,0.0588,0.0792,0.0253,1,0.2889,NA
"UCE-1102","One_class","Mixture",32,0.3019,0.3001,0.0663,7,0.4855,NA
"UCE-1094","One_class","Mixture",92,0.561,0.1534,0.0372,18,0.4543,NA
"UCE-111","One_class","Mixture",0,0,0.0263,0.0107,0,0.0474,NA
"UCE-1119","One_class","Mixture",0,0,0.0564,0.0181,0,0.1404,NA
"UCE-1093","One_class","Mixture",46,0.3485,0.031,0.0075,11,0.0693,NA
"UCE-1107","One_class","Mixture",18,0.1452,0.1215,0.0322,6,0.8087,NA
"UCE-1090","One_class","Mixture",86,0.7049,0.4187,0.1296,18,0.8905,NA
"UCE-1123","One_class","Mixture",0,0,0.0067,0.0022,0,0.0122,NA
"UCE-1110","One_class","Mixture",78,0.4286,0.221,0.0423,11,0.6301,NA
"UCE-1113","One_class","Mixture",26,0.2364,0.1522,0.0296,6,0.4086,NA
"UCE-1121","One_class","Mixture",52,0.5098,0.2082,0.0361,13,0.3689,NA
"UCE-1136","One_class","Mixture",4,0.1333,0.0956,0.0273,2,0.2144,NA
"UCE-1122","One_class","Mixture",56,0.4746,0.06,0.0174,11,0.1168,NA
"UCE-1139","One_class","Mixture",0,0,0.0028,8e-04,0,0.0062,NA
"UCE-1098","One_class","Mixture",90,0.6,0.0976,0.0205,16,0.1511,NA
"UCE-1101","One_class","Mixture",108,0.72,0.1469,0.0219,19,0.2082,NA
"UCE-1120","One_class","Mixture",26,0.3421,0.0028,0.001,5,0.0071,NA
"UCE-1133","One_class","Mixture",72,0.5714,0.0763,0.0144,17,0.2941,NA
"UCE-1131","One_class","Mixture",88,0.6377,0.1968,0.0547,19,0.4175,NA
"UCE-1148","One_class","Mixture",20,0.1818,0.0386,0.0219,5,0.2063,NA
"UCE-114","One_class","Mixture",4,0.2222,0.3168,0.1093,1,0.6328,NA
"UCE-1135","One_class","Mixture",34,0.3269,0.0561,0.013,7,0.0956,NA
"UCE-1134","One_class","Mixture",40,0.4167,0.0505,0.0165,10,0.1385,NA
"UCE-1141","One_class","Mixture",42,0.4286,0.0712,0.0309,11,0.154,NA
"UCE-1127","One_class","Mixture",28,0.25,0.1726,0.0635,7,0.4877,NA
"UCE-1149","One_class","Mixture",42,0.375,0.037,0.0124,11,0.0526,NA
"UCE-1138","One_class","Mixture",48,0.4,0.0282,0.0091,9,0.0447,NA
"UCE-1161","One_class","Mixture",0,0,0.0391,0.0123,0,0.1142,NA
"UCE-1143","One_class","Mixture",40,0.3774,0.1768,0.0272,10,0.3138,NA
"UCE-1157","One_class","Mixture",16,0.2667,0.0523,0.017,6,0.1193,NA
"UCE-1168","One_class","Mixture",0,0,7e-04,2e-04,0,0.0012,NA
"UCE-1158","One_class","Mixture",20,0.2632,0.0231,0.0074,7,0.0586,NA
"UCE-1155","One_class","Mixture",12,0.1224,0.0349,0.0077,4,0.0477,NA
"UCE-1150","One_class","Mixture",30,0.3125,0.0152,0.0073,7,0.0446,NA
"UCE-1163","One_class","Mixture",86,0.7679,1.3476,0.2677,17,3.0155,NA
"UCE-1128","One_class","Mixture",62,0.4559,0.1758,0.0597,11,0.4718,NA
"UCE-1173","One_class","Mixture",70,0.614,0.4315,0.0715,8,0.8095,NA
"UCE-1169","One_class","Mixture",18,0.2812,0.0332,0.0141,5,0.049,NA
"UCE-115","One_class","Mixture",56,0.4,0.6837,0.1252,14,1.5133,NA
"UCE-1167","One_class","Mixture",42,0.5385,0.0047,0.0015,12,0.0127,NA
"UCE-1162","One_class","Mixture",44,0.3729,0.0681,0.0169,7,0.1349,NA
"UCE-1182","One_class","Mixture",0,0,0.0239,0.0069,0,0.0544,NA
"UCE-1159","One_class","Mixture",18,0.1607,0.0679,0.0352,6,0.2763,NA
"UCE-1176","One_class","Mixture",32,0.3902,0.0131,0.0064,8,0.0415,NA
"UCE-1185","One_class","Mixture",0,0,0.0147,0.0044,0,0.0286,NA
"UCE-1170","One_class","Mixture",24,0.2143,0.0602,0.0112,7,0.1266,NA
"UCE-1174","One_class","Mixture",36,0.3462,0.0783,0.0181,10,0.1007,NA
"UCE-1190","One_class","Mixture",2,0.0588,0.0358,0.0136,1,0.0973,NA
"UCE-1187","One_class","Mixture",34,0.3333,0.2979,0.0644,10,0.5953,NA
"UCE-119","One_class","Mixture",0,0,0.0021,7e-04,0,0.0036,NA
"UCE-1154","One_class","Mixture",88,0.6111,0.0358,0.0094,20,0.1068,NA
"UCE-1181","One_class","Mixture",32,0.254,0.0224,0.0081,9,0.06,NA
"UCE-1194","One_class","Mixture",4,0.1176,0.1266,0.0424,1,0.2755,NA
"UCE-1183","One_class","Mixture",24,0.3077,4e-04,2e-04,7,9e-04,NA
"UCE-1188","One_class","Mixture",44,0.449,0.0181,0.0072,10,0.0567,NA
"UCE-1192","One_class","Mixture",16,0.2353,0.007,0.0015,5,0.0282,NA
"UCE-117","One_class","Mixture",38,0.2714,0.0299,0.0115,9,0.0815,NA
"UCE-1191","One_class","Mixture",76,0.6032,0.2239,0.0377,12,0.3396,NA
"UCE-1202","One_class","Mixture",22,0.2821,0.0556,0.0142,4,0.1261,NA
"UCE-1201","One_class","Mixture",44,0.4314,0.004,6e-04,11,0.0203,NA
"UCE-1193","One_class","Mixture",14,0.1321,0.0664,0.0159,5,0.2531,NA
"UCE-120","One_class","Mixture",0,0,0.1525,0.042,0,0.4505,NA
"UCE-11","One_class","Mixture",22,0.2075,0.0399,0.014,5,0.0996,NA
"UCE-1200","One_class","Mixture",36,0.3529,0.0657,0.0145,7,0.1657,NA
"UCE-1207","One_class","Mixture",40,0.4651,0.0947,0.0296,9,0.1486,NA
"UCE-1204","One_class","Mixture",60,0.5263,0.1009,0.0203,10,0.1659,NA
"UCE-1219","One_class","Mixture",0,0,0.1382,0.0507,0,0.275,NA
"UCE-1210","One_class","Mixture",86,0.5584,0.3281,0.0682,13,0.6362,NA
"UCE-1212","One_class","Mixture",40,0.3774,0.0898,0.0189,10,0.373,NA
"UCE-1224","One_class","Mixture",0,0,0.0032,0.001,0,0.0037,NA
"UCE-1203","One_class","Mixture",30,0.2459,0.0323,0.0084,8,0.0799,NA
"UCE-1209","One_class","Mixture",40,0.5556,0.0185,0.0105,11,0.045,NA
"UCE-1216","One_class","Mixture",32,0.3137,0.019,0.0061,8,0.0463,NA
"UCE-1222","One_class","Mixture",30,0.4286,0.0308,0.0065,9,0.1151,NA
"UCE-1215","One_class","Mixture",26,0.2321,0.0115,0.0047,4,0.0309,NA
"UCE-1233","One_class","Mixture",0,0,0.1245,0.0559,0,0.3454,NA
"UCE-1230","One_class","Mixture",4,0.125,0.1094,0.0468,2,0.3506,NA
"UCE-1211","One_class","Mixture",14,0.1296,0.0068,0.0012,3,0.0113,NA
"UCE-121","One_class","Mixture",8,0.087,0.0248,0.0092,2,0.0645,NA
"UCE-1232","One_class","Mixture",40,0.3571,0.2144,0.0558,10,0.4994,NA
"UCE-1205","One_class","Mixture",34,0.4474,0.0031,0.0015,8,0.0089,NA
"UCE-1217","One_class","Mixture",40,0.3448,0.061,0.0148,8,0.2229,NA
"UCE-1241","One_class","Mixture",0,0,0.0064,0.0022,0,0.0058,NA
"UCE-1243","One_class","Mixture",0,0,0.0139,0.0044,0,0.0314,NA
"UCE-1225","One_class","Mixture",34,0.2982,0.0177,0.0066,7,0.0369,NA
"UCE-1206","One_class","Mixture",46,0.2987,0.0493,0.0162,9,0.1163,NA
"UCE-124","One_class","Mixture",0,0,0.0043,0.0016,0,0.0118,NA
"UCE-1242","One_class","Mixture",52,0.4333,0.4508,0.089,13,1.039,NA
"UCE-1250","One_class","Mixture",0,0,0.0136,0.004,0,0.0328,NA
"UCE-1263","One_class","Mixture",0,0,0.1719,0.0634,0,0.3459,NA
"UCE-1236","One_class","Mixture",52,0.5652,0.0964,0.0219,10,0.2951,NA
"UCE-1234","One_class","Mixture",34,0.2125,0.1716,0.037,7,0.3414,NA
"UCE-1251","One_class","Mixture",36,0.4737,0.0995,0.0211,8,0.1496,NA
"UCE-1245","One_class","Mixture",58,0.4915,0.1163,0.0261,11,0.143,NA
"UCE-1239","One_class","Mixture",48,0.4286,0.2974,0.059,11,0.4549,NA
"UCE-1246","One_class","Mixture",30,0.2885,0.0152,0.0066,7,0.1207,NA
"UCE-1253","One_class","Mixture",40,0.3636,0.0365,0.0114,10,0.0773,NA
"UCE-1268","One_class","Mixture",4,0.1176,0.0251,0.0063,1,0.0527,NA
"UCE-1252","One_class","Mixture",38,0.3585,0.0879,0.021,9,0.2783,NA
"UCE-1270","One_class","Mixture",0,0,0.109,0.0329,0,0.3836,NA
"UCE-1260","One_class","Mixture",18,0.1304,0.0602,0.0114,4,0.1382,NA
"UCE-1255","One_class","Mixture",32,0.2623,0.0239,0.0079,6,0.1135,NA
"UCE-1256","One_class","Mixture",40,0.3846,0.014,0.0031,10,0.0515,NA
"UCE-1265","One_class","Mixture",6,0.0652,0.001,2e-04,2,0.0029,NA
"UCE-1264","One_class","Mixture",20,0.1961,0.0099,0.0049,5,0.0282,NA
"UCE-1257","One_class","Mixture",52,0.6667,0.225,0.1454,11,0.7286,NA
"UCE-1267","One_class","Mixture",60,0.4762,0.319,0.0614,8,0.6996,NA
"UCE-125","One_class","Mixture",36,0.3333,0.0235,0.008,8,0.1542,NA
"UCE-1288","One_class","Mixture",0,0,0.0266,0.0078,0,0.0371,NA
"UCE-1271","One_class","Mixture",90,0.5625,0.4328,0.0715,17,0.9013,NA
"UCE-127","One_class","Mixture",26,0.26,0.1965,0.0477,4,0.4668,NA
"UCE-1276","One_class","Mixture",66,0.55,0.0773,0.0184,13,0.1822,NA
"UCE-128","One_class","Mixture",0,0,0.0311,0.0085,0,0.0805,NA
"UCE-1290","One_class","Mixture",18,0.1475,0.0823,0.0188,5,0.2577,NA
"UCE-1277","One_class","Mixture",80,0.6897,0.1772,0.0271,9,0.4297,NA
"UCE-1281","One_class","Mixture",18,0.1579,0.0574,0.0168,5,0.0883,NA
"UCE-1278","One_class","Mixture",100,0.5495,0.2441,0.0335,16,0.4468,NA
"UCE-1301","One_class","Mixture",54,0.45,0.4017,0.1369,11,1.152,NA
"UCE-1297","One_class","Mixture",48,0.4898,0.0063,0.0023,10,0.018,NA
"UCE-1295","One_class","Mixture",58,0.3919,0.0771,0.0166,12,0.2257,NA
"UCE-1285","One_class","Mixture",52,0.4727,0.3522,0.2135,9,1.6784,NA
"UCE-1272","One_class","Mixture",34,0.2394,0.1239,0.0379,4,0.3437,NA
"UCE-1300","One_class","Mixture",42,0.4286,0.0499,0.0149,10,0.1202,NA
"UCE-12","One_class","Mixture",34,0.2982,0.0198,0.0072,10,0.04,NA
"UCE-1291","One_class","Mixture",8,0.0635,0.1118,0.0611,2,0.4566,NA
"UCE-1307","One_class","Mixture",82,0.519,0.3646,0.0674,8,0.6824,NA
"UCE-131","One_class","Mixture",0,0,0.0151,0.0064,0,0.0173,NA
"UCE-1306","One_class","Mixture",22,0.2821,0.1876,0.0501,4,0.4938,NA
"UCE-1313","One_class","Mixture",44,0.3438,0.4419,0.1337,8,0.9483,NA
"UCE-1319","One_class","Mixture",0,0,0.0271,0.0075,0,0.0386,NA
"UCE-1299","One_class","Mixture",54,0.375,0.0218,0.007,11,0.0594,NA
"UCE-1309","One_class","Mixture",104,0.5843,0.1762,0.0354,22,0.2382,NA
"UCE-129","One_class","Mixture",78,0.4535,0.13,0.0227,18,0.1864,NA
"UCE-1326","One_class","Mixture",0,0,0.0037,9e-04,0,0.0046,NA
"UCE-1324","One_class","Mixture",2,0.0769,0.1679,0.0622,1,0.3442,NA
"UCE-1318","One_class","Mixture",44,0.3607,0.1371,0.0326,10,0.2487,NA
"UCE-1305","One_class","Mixture",56,0.4828,0.0749,0.0163,10,0.1212,NA
"UCE-1323","One_class","Mixture",6,0.0769,0.0125,0.0026,2,0.0207,NA
"UCE-1304","One_class","Mixture",102,0.7083,0.2939,0.041,18,0.5506,NA
"UCE-1335","One_class","Mixture",0,0,0,0,0,1e-04,NA
"UCE-1314","One_class","Mixture",56,0.5283,0.0982,0.0172,13,0.168,NA
"UCE-1339","One_class","Mixture",44,0.5116,0.1191,0.0399,8,0.2086,NA
"UCE-132","One_class","Mixture",14,0.1429,0.1407,0.0389,4,0.1951,NA
"UCE-1334","One_class","Mixture",46,0.6053,0.168,0.0287,8,0.2111,NA
"UCE-1344","One_class","Mixture",2,0.04,0.0018,5e-04,1,0.003,NA
"UCE-1322","One_class","Mixture",84,0.7778,0.0338,0.0103,17,0.0763,NA
"UCE-1311","One_class","Mixture",14,0.6364,0,0,4,0,NA
"UCE-1348","One_class","Mixture",98,0.8033,1.5439,0.2703,21,3.2587,NA
"UCE-1349","One_class","Mixture",8,0.0784,0.1952,0.035,2,0.3223,NA
"UCE-1329","One_class","Mixture",46,0.3286,0.087,0.0222,8,0.1711,NA
"UCE-1345","One_class","Mixture",42,0.5676,0.04,0.0137,10,0.1094,NA
"UCE-1359","One_class","Mixture",0,0,0.1117,0.0352,0,0.2908,NA
"UCE-1357","One_class","Mixture",8,0.1026,0.0645,0.0121,2,0.1322,NA
"UCE-1361","One_class","Mixture",4,0.1538,0.262,0.0969,1,0.6915,NA
"UCE-1336","One_class","Mixture",56,0.4912,0.0096,0.0051,13,0.0289,NA
"UCE-1351","One_class","Mixture",70,0.5385,0.0525,0.012,15,0.1185,NA
"UCE-1350","One_class","Mixture",44,0.5789,0.0295,0.0097,9,0.0724,NA
"UCE-1346","One_class","Mixture",66,0.541,0.0431,0.0118,14,0.1078,NA
"UCE-1358","One_class","Mixture",126,0.7241,0.1718,0.0357,24,0.4732,NA
"UCE-134","One_class","Mixture",56,0.4516,0.034,0.0092,14,0.0794,NA
"UCE-1333","One_class","Mixture",62,0.4026,0.246,0.0374,14,0.4093,NA
"UCE-1342","One_class","Mixture",114,0.6404,0.2616,0.0442,22,0.4372,NA
"UCE-1360","One_class","Mixture",40,0.3922,0.145,0.0518,8,0.2451,NA
"UCE-1363","One_class","Mixture",116,0.6304,0.6437,0.1035,24,1.7765,NA
"UCE-1354","One_class","Mixture",32,0.254,0.123,0.022,8,0.629,NA
"UCE-1362","One_class","Mixture",50,0.4545,0.1456,0.0237,7,0.2091,NA
"UCE-1367","One_class","Mixture",26,0.2708,0.0638,0.0151,6,0.091,NA
"UCE-1366","One_class","Mixture",68,0.5075,0.2489,0.0478,8,0.4651,NA
"UCE-1381","One_class","Mixture",0,0,0.1033,0.0373,0,0.2479,NA
"UCE-1371","One_class","Mixture",14,0.175,1e-04,0,4,3e-04,NA
"UCE-1368","One_class","Mixture",86,0.7167,0.0398,0.0144,18,0.0889,NA
"UCE-1374","One_class","Mixture",8,0.0889,0.005,9e-04,2,0.0107,NA
"UCE-1384","One_class","Mixture",4,0.125,0.0921,0.0244,2,0.2003,NA
"UCE-1393","One_class","Mixture",0,0,0.0541,0.018,0,0.1322,NA
"UCE-1396","One_class","Mixture",0,0,0.0302,0.0106,0,0.0737,NA
"UCE-136","One_class","Mixture",40,0.3922,0.038,0.0157,8,0.1318,NA
"UCE-1376","One_class","Mixture",118,0.686,0.3489,0.0734,23,1.0065,NA
"UCE-1389","One_class","Mixture",86,0.5811,0.6068,0.1169,18,1.7509,NA
"UCE-1402","One_class","Mixture",0,0,0.005,0.0015,0,0.0094,NA
"UCE-1375","One_class","Mixture",16,0.16,0.0983,0.045,5,0.4017,NA
"UCE-1392","One_class","Mixture",16,0.1778,0.0587,0.0155,4,0.1001,NA
"UCE-1390","One_class","Mixture",50,0.3846,0.1117,0.0215,12,0.1114,NA
"UCE-1383","One_class","Mixture",42,0.3962,6e-04,2e-04,12,0.0012,NA
"UCE-139","One_class","Mixture",32,0.3333,0.0785,0.0137,9,0.1742,NA
"UCE-1378","One_class","Mixture",48,0.3871,0.0617,0.0171,13,0.0986,NA
"UCE-1397","One_class","Mixture",12,0.1395,0.0114,0.0038,3,0.0291,NA
"UCE-1385","One_class","Mixture",62,0.4079,0.0536,0.013,15,0.1823,NA
"UCE-1403","One_class","Mixture",30,0.4412,0.0581,0.0186,7,0.0709,NA
"UCE-1394","One_class","Mixture",72,0.6429,0.0601,0.0141,16,0.1019,NA
"UCE-1395","One_class","Mixture",14,0.1489,0.073,0.0381,4,0.1997,NA
"UCE-1413","One_class","Mixture",66,0.569,0.4055,0.1116,13,2.2723,NA
"UCE-1410","One_class","Mixture",42,0.4667,0.046,0.0126,6,0.1711,NA
"UCE-1422","One_class","Mixture",0,0,0.0103,0.0031,0,0.0186,NA
"UCE-1405","One_class","Mixture",22,0.1746,0.0352,0.01,6,0.0505,NA
"UCE-1419","One_class","Mixture",20,0.1754,0.0737,0.02,5,0.0985,NA
"UCE-142","One_class","Mixture",0,0,0.1391,0.0488,0,0.1415,NA
"UCE-1430","One_class","Mixture",0,0,0,0,0,0,NA
"UCE-1415","One_class","Mixture",38,0.4318,0.0453,0.0247,9,0.1171,NA
"UCE-1417","One_class","Mixture",54,0.4576,0.1642,0.0466,10,0.3325,NA
"UCE-1438","One_class","Mixture",0,0,0.0024,9e-04,0,0.0038,NA
"UCE-1427","One_class","Mixture",88,0.7333,0.4722,0.0946,18,0.9102,NA
"UCE-1424","One_class","Mixture",14,0.175,0.0066,0.0046,4,0.021,NA
"UCE-1435","One_class","Mixture",0,0,0.0178,0.0068,0,0.0417,NA
"UCE-1412","One_class","Mixture",90,0.75,0.0963,0.0182,18,0.2236,NA
"UCE-1434","One_class","Mixture",22,0.2292,0.24,0.048,5,0.3832,NA
"UCE-144","One_class","Mixture",2,0.0714,0.0212,0.0079,1,0.0281,NA
"UCE-1420","One_class","Mixture",42,0.42,0.0381,0.0141,10,0.0722,NA
"UCE-1450","One_class","Mixture",0,0,0.0562,0.0178,0,0.1705,NA
"UCE-1457","One_class","Mixture",12,0.1538,0.0087,0.0016,4,0.0171,NA
"UCE-1423","One_class","Mixture",86,0.5972,0.0852,0.0218,17,0.1856,NA
"UCE-1447","One_class","Mixture",20,0.1961,2e-04,1e-04,4,6e-04,NA
"UCE-1425","One_class","Mixture",104,0.6047,0.2401,0.0383,17,0.3361,NA
"UCE-1442","One_class","Mixture",32,0.5161,0.0194,0.0074,8,0.0374,NA
"UCE-1466","One_class","Mixture",0,0,0.1815,0.0908,0,0.8516,NA
"UCE-1467","One_class","Mixture",28,0.3043,0.0413,0.0147,5,0.0979,NA
"UCE-1453","One_class","Mixture",62,0.6889,0.017,0.0061,15,0.0374,NA
"UCE-1451","One_class","Mixture",42,0.375,0.113,0.0962,9,0.7294,NA
"UCE-1446","One_class","Mixture",78,0.6842,0.1012,0.0214,13,0.1586,NA
"UCE-1462","One_class","Mixture",58,0.4754,0.081,0.0165,12,0.1887,NA
"UCE-1463","One_class","Mixture",36,0.2951,0.044,0.0118,7,0.0879,NA
"UCE-1454","One_class","Mixture",96,0.6857,0.1026,0.0206,22,0.2182,NA
"UCE-1458","One_class","Mixture",8,0.0563,0.1319,0.0168,2,0.3955,NA
"UCE-146","One_class","Mixture",52,0.3824,0.0119,0.0053,9,0.027,NA
"UCE-1476","One_class","Mixture",34,0.34,0.0447,0.0144,7,0.0904,NA
"UCE-1480","One_class","Mixture",4,0.0417,0.0059,0.001,1,0.0154,NA
"UCE-1489","One_class","Mixture",0,0,0.0177,0.0041,0,0.0221,NA
"UCE-1469","One_class","Mixture",86,0.6719,0.0772,0.0155,18,0.1883,NA
"UCE-147","One_class","Mixture",56,0.5833,0.0685,0.0177,12,0.1512,NA
"UCE-1470","One_class","Mixture",68,0.7234,0.0932,0.0166,15,0.1034,NA
"UCE-1468","One_class","Mixture",58,0.4394,0.0638,0.0162,11,0.3081,NA
"UCE-1456","One_class","Mixture",64,0.5424,0.0304,0.0093,13,0.2792,NA
"UCE-1483","One_class","Mixture",32,0.4103,0.0493,0.0126,8,0.106,NA
"UCE-148","One_class","Mixture",14,0.1321,0.0638,0.0111,4,0.1893,NA
"UCE-1482","One_class","Mixture",22,0.2075,0.0136,0.0051,5,0.0265,NA
"UCE-1477","One_class","Mixture",22,0.6875,0.021,0.0083,6,0.031,NA
"UCE-1474","One_class","Mixture",90,0.5488,0.0898,0.017,17,0.247,NA
"UCE-1488","One_class","Mixture",18,0.2195,0.0029,7e-04,6,0.0085,NA
"UCE-1484","One_class","Mixture",24,0.2553,0.0734,0.0211,5,0.1634,NA
"UCE-1478","One_class","Mixture",72,0.4557,0.2324,0.0481,11,0.7559,NA
"UCE-1498","One_class","Mixture",0,0,0.0879,0.0377,0,0.2655,NA
"UCE-1490","One_class","Mixture",32,0.3077,0.0303,0.0104,8,0.0494,NA
"UCE-14","One_class","Mixture",4,0.0625,0.0328,0.0159,2,0.1034,NA
"UCE-149","One_class","Mixture",98,0.7424,0.3676,0.0794,18,0.8751,NA
"UCE-1504","One_class","Mixture",8,0.2353,0.0866,0.03,2,0.2396,NA
"UCE-1511","One_class","Mixture",0,0,0.0629,0.0197,0,0.1507,NA
"UCE-1512","One_class","Mixture",0,0,0.1983,0.0743,0,0.4338,NA
"UCE-1509","One_class","Mixture",0,0,0.0224,0.0077,0,0.0613,NA
"UCE-1507","One_class","Mixture",10,0.3125,0.0759,0.0273,3,0.1232,NA
"UCE-1485","One_class","Mixture",66,0.4342,0.2982,0.0447,17,0.4632,NA
"UCE-1501","One_class","Mixture",16,0.1538,0.0428,0.0075,4,0.062,NA
"UCE-1520","One_class","Mixture",66,0.569,0.9418,0.2185,7,1.6553,NA
"UCE-1492","One_class","Mixture",64,0.3636,0.2056,0.0489,9,0.3201,NA
"UCE-1514","One_class","Mixture",54,0.5294,0.6762,0.2437,10,1.5228,NA
"UCE-1500","One_class","Mixture",18,0.1636,0.0108,0.005,4,0.0286,NA
"UCE-1508","One_class","Mixture",20,0.2273,0.0569,0.0118,6,0.1723,NA
"UCE-1499","One_class","Mixture",56,0.4308,0.0353,0.011,11,0.072,NA
"UCE-1497","One_class","Mixture",26,0.1884,0.0523,0.02,6,0.1622,NA
"UCE-1531","One_class","Mixture",0,0,0.0106,0.003,0,0.0151,NA
"UCE-1528","One_class","Mixture",20,0.2857,0.0013,3e-04,6,0.004,NA
"UCE-1523","One_class","Mixture",22,0.1897,0.115,0.0206,5,0.1953,NA
"UCE-1506","One_class","Mixture",32,0.2712,0.0337,0.01,9,0.068,NA
"UCE-153","One_class","Mixture",54,0.4219,0.4924,0.0849,12,1.0355,NA
"UCE-1535","One_class","Mixture",52,0.5652,0.0314,0.0108,11,0.059,NA
"UCE-1533","One_class","Mixture",22,0.2973,1e-04,0,6,1e-04,NA
