"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","real_base_freq","GMM_pro","GMM_mean","GMM_num_class","RF_distance","nRF_distance","wRF_distance","KF_distance","SPR_distance","path_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","UCE-1013","MIX{K3Pu+FO,K80+FO,F81+FO}+I+R2","I+R2",-13967.2031,-9171.968,"K3Pu{1.93617,0.674764}+FO{0.25464,0.203853,0.196083,0.345425};K2P{40.4259}+FQ;F81+FO{0.591929,0.101867,0.238891,0.0673124}",28032.4062,28035.9466,28290.5491,"Mixture",1434,19,0.274058577405858,"54.60%",1086,"0.2478;0.1336;0.1379;0.2394;0.2413","0.1793;0.12;0.075;0.0889;0.0786;0.1302;0.1245;0.1175;0.086","0.0016;0.2759;0.4581;0.6267;0.8446;1.0341;1.2496;1.4677;1.7108",9,12,0.3529,3.5351,0.968,2,7.7729,NA,"6.0605","2.0121","0.332","0","0.0327","0.0693","0.1506","0.2631","0.5882"
"One_class","UCE-1013","TVM+F+I+R2","I+R2",-13999.0926,-9171.968,"TVM{0.878,2.1447,0.4718,0.9303,2.1447,1}+F{0.3266,0.176,0.1818,0.3155}",28088.1851,28091.1678,28325.2552,"Mixture",1434,19,0.274058577405858,"54.60%",1086,"0.2478;0.1336;0.1379;0.2394;0.2413","0.1793;0.12;0.075;0.0889;0.0786;0.1302;0.1245;0.1175;0.086","0.0016;0.2759;0.4581;0.6267;0.8446;1.0341;1.2496;1.4677;1.7108",9,8,0.2353,2.8039,0.753,2,5.8593,NA,"5.4225","1.6787","0.3096","0","0.0213","0.0655","0.1683","0.2773","0.7905"
"Mixture","UCE-102","MIX{HKY+FO,TPM3+FO}+R2","R2",-9769.9129,-9137.5876,"HKY{1.92921}+FO{0.388276,0.150537,0.147767,0.31342};TPM3{2.18298,8.01635}+FQ",19627.8258,19630.5178,19862.0743,"Mixture",1516,19,0.439973614775726,"38.46%",946,"0.2371;0.1438;0.1308;0.2088;0.2795","0.2619;0.0995;0.0827;0.034;0.0861;0.1323;0.1669;0.0303;0.1063","0.0134;0.213;0.3325;0.4312;0.5371;0.7425;1.0024;1.2436;1.4007",9,10,0.2941,1.0777,0.2381,2,0.844,NA,"2.7029","1.158","0.4284","0","0.0135","0.0352","0.0727","0.077","0.3209"
"One_class","UCE-102","HKY+F+R2","R2",-9783.308,-9137.5876,"HKY{1,2.9345,1,1,2.9345,1}+F{0.329,0.1996,0.1816,0.2898}",19648.616,19650.9525,19866.893,"Mixture",1516,19,0.439973614775726,"38.46%",946,"0.2371;0.1438;0.1308;0.2088;0.2795","0.2619;0.0995;0.0827;0.034;0.0861;0.1323;0.1669;0.0303;0.1063","0.0134;0.213;0.3325;0.4312;0.5371;0.7425;1.0024;1.2436;1.4007",9,10,0.2941,1.0679,0.2281,2,0.841,NA,"2.6171","1.1175","0.427","0","0.0131","0.0355","0.0751","0.0771","0.3346"
"Mixture","UCE-1035","MIX{TPM2u+FO,TPM2+FO}+R2","R2",-9305.619,-8216.1472,"TPM2u{0.263195,1.64301}+FO{0.319722,0.167934,0.198821,0.313523};TPM2{10.0626,15.022}+FQ",18701.2381,18703.9457,18942.5286,"One_class",1575,19,0.52952380952381,"28.70%",774,"0.2116;0.1269;0.1464;0.2029;0.3121","0.3898;0.1397;0.1097;0.0875;0.1259;0.0781;0.0513;0.018","0.0028;0.2631;0.5044;0.7102;0.9431;1.1944;1.4183;1.6994",8,2,0.0588,1.3239,0.3513,0,1.2718,NA,"2.9818","0.9219","0.3092","0","0.0176","0.0539","0.0799","0.1122","0.3463"
"One_class","UCE-1035","TPM2u+F+R2","R2",-9314.4227,-8216.1472,"TPM2u{0.5736,2.2276,0.5736,1,2.2276,1}+F{0.3076,0.1845,0.2129,0.295}",18712.8455,18715.2032,18938.0499,"One_class",1575,19,0.52952380952381,"28.70%",774,"0.2116;0.1269;0.1464;0.2029;0.3121","0.3898;0.1397;0.1097;0.0875;0.1259;0.0781;0.0513;0.018","0.0028;0.2631;0.5044;0.7102;0.9431;1.1944;1.4183;1.6994",8,2,0.0588,1.3124,0.3423,0,1.4173,NA,"2.877","0.8824","0.3067","0","0.0164","0.0553","0.0828","0.1152","0.3715"
"Mixture","UCE-1012","TPM3u+FO+I+R2","I+R2",-6532.25,-7163.5431,"TPM3u{1.6149,4.7224,1,1.6149,4.7224,1}+FO{0.2732,0.1789,0.2153,0.3326}",13346.5001,13380.2071,14078.7038,"Mixture",1330,68,0.648872180451128,"20.60%",600,"0.1016;0.0882;0.087;0.1357;0.5875","0.1494;0.2241;0.0532;0.3204;0.253","0.0749;0.2361;0.4834;0.5119;0.6745",5,92,0.697,4.7988,0.7935,21,15.3753,NA,"2.5552","0.7918","0.3099","0","0","0.0075","0.0181","0.0208","0.5817"
"One_class","UCE-1012","TN+F+I+R2","I+R2",-6535.1785,-7163.5431,"TN{1,4.7726,1,1,2.8987,1}+F{0.2463,0.2145,0.2114,0.3278}",13352.357,13386.0641,14084.5608,"Mixture",1330,68,0.648872180451128,"20.60%",600,"0.1016;0.0882;0.087;0.1357;0.5875","0.1494;0.2241;0.0532;0.3204;0.253","0.0749;0.2361;0.4834;0.5119;0.6745",5,96,0.7273,4.802,0.7574,21,15.6118,NA,"2.4245","0.7525","0.3104","0","0","0.0081","0.0191","0.0214","0.6376"
"Mixture","UCE-1034","TPM3u+FO+I+R2","I+R2",-11855.7667,-10131.7632,"TPM3u{1.3369,3.6145,1,1.3369,3.6145,1}+FO{0.2895,0.2029,0.2022,0.3054}",23949.5335,23969.8032,24584.0854,"Mixture",1529,57,0.337475474166122,"48.33%",1138,"0.1;0.073;0.0551;0.1013;0.6706","0.2394;0.7606","0.0831;0.6372",2,82,0.7455,4.5368,0.6195,19,7.849,NA,"5.4446","2.2798","0.4187","0","0","0.0297","0.0475","0.0636","0.5136"
"One_class","UCE-1034","TIM2+F+I+R2","I+R2",-11859.7138,-10131.7632,"TIM2{0.7221,3.1118,0.7221,1,2.2464,1}+F{0.3014,0.2227,0.1708,0.3051}",23959.4276,23980.0526,24599.3119,"Mixture",1529,57,0.337475474166122,"48.33%",1138,"0.1;0.073;0.0551;0.1013;0.6706","0.2394;0.7606","0.0831;0.6372",2,82,0.7455,4.4842,0.5861,18,7.7038,NA,"5.3153","2.3203","0.4365","0","0","0.03","0.0486","0.0631","0.5277"
"Mixture","UCE-1004","TPM2u+FO+I+G4","I+G4",-12206.2092,-10412.6576,"TPM2u{0.7314,2.8558,0.7314,1,2.8558,1}+FO{0.3747,0.1649,0.1873,0.2731}",24656.4184,24675.8562,25317.5097,"Mixture",1667,59,0.406118776244751,"40.13%",1101,"0.1216;0.0513;0.0594;0.0821;0.6855","0.167;0.1201;0.0851;0.0719;0.1206;0.0993;0.1402;0.1263;0.0696","0.0026;0.1218;0.2241;0.3418;0.5102;0.6335;0.7453;0.855;0.9972",9,100,0.8772,6.3444,1.2132,23,14.037,NA,"6.598","2.0979","0.318","0","0","0.0184","0.0569","0.0589","0.8784"
"One_class","UCE-1004","TPM2u+F+I+G4","I+G4",-12207.6992,-10412.6576,"TPM2u{0.7379,2.8476,0.7379,1,2.8476,1}+F{0.3801,0.1673,0.1919,0.2607}",24659.3984,24678.8362,25320.4897,"Mixture",1667,59,0.406118776244751,"40.13%",1101,"0.1216;0.0513;0.0594;0.0821;0.6855","0.167;0.1201;0.0851;0.0719;0.1206;0.0993;0.1402;0.1263;0.0696","0.0026;0.1218;0.2241;0.3418;0.5102;0.6335;0.7453;0.855;0.9972",9,102,0.8947,6.3157,1.2109,22,14.1104,NA,"6.6006","2.0839","0.3157","0","0","0.0183","0.0569","0.0589","0.8772"
"Mixture","UCE-1018","MIX{GTR+FO,K81u+FO}+I+R2","I+R2",-10787.695,-9225.4247,"GTR{1.23591,1.274,1.54451,1.66753,10.7805}+FO{0.55704,0.113353,0.289159,0.0404478};K3Pu{2.06556,0.633921}+FO{0.196669,0.223916,0.209458,0.369957}",21819.3899,21841.8877,22464.0544,"Mixture",1457,54,0.427590940288264,"38.98%",972,"0.1221;0.0676;0.0814;0.1207;0.6082","0.0982;0.096;0.0875;0.1441;0.132;0.0389;0.1955;0.2078","0.0225;0.1058;0.199;0.3567;0.53;0.6337;0.7342;0.946",8,86,0.8269,4.5775,0.6552,18,7.416,NA,"4.0892","1.5789","0.3861","0","0","0.0128","0.0369","0.0408","0.35"
"One_class","UCE-1018","TVM+F+I+G4","I+G4",-10830.452,-9225.4247,"TVM{1.0636,2.5897,0.387,1.1301,2.5897,1}+F{0.3104,0.1741,0.2087,0.3069}",21888.904,21908.442,22491.2953,"Mixture",1457,54,0.427590940288264,"38.98%",972,"0.1221;0.0676;0.0814;0.1207;0.6082","0.0982;0.096;0.0875;0.1441;0.132;0.0389;0.1955;0.2078","0.0225;0.1058;0.199;0.3567;0.53;0.6337;0.7342;0.946",8,84,0.8077,4.3788,0.6201,21,7.3654,NA,"3.9119","1.4967","0.3826","0","0","0.0133","0.0386","0.0409","0.3904"
"Mixture","UCE-1014","HKY+FO+G4","G4",-8326.4582,-7591.081,"HKY{1,3.2929,1,1,3.2929,1}+FO{0.3182,0.1943,0.1982,0.2894}",16900.9163,16926.6639,17544.7469,"Mixture",1329,61,0.54928517682468,"29.72%",722,"0.1335;0.0745;0.0775;0.1316;0.5829","0.0656;0.1891;0.084;0.0393;0.2839;0.1416;0.1284;0.0682","0.0099;0.1138;0.229;0.365;0.5285;0.6697;0.8063;0.9457",8,90,0.7627,4.1578,0.5477,18,11.5534,NA,"2.5465","1.0117","0.3973","0","0.0058","0.0157","0.0219","0.0308","0.1462"
"One_class","UCE-1014","TPM3u+F+I+G4","I+G4",-8321.6235,-7591.081,"TPM3u{1.4763,4.0017,1,1.4763,4.0017,1}+F{0.3191,0.1796,0.1867,0.3146}",16895.2471,16921.8727,17549.462,"Mixture",1329,61,0.54928517682468,"29.72%",722,"0.1335;0.0745;0.0775;0.1316;0.5829","0.0656;0.1891;0.084;0.0393;0.2839;0.1416;0.1284;0.0682","0.0099;0.1138;0.229;0.365;0.5285;0.6697;0.8063;0.9457",8,90,0.7627,4.0825,0.5373,18,11.464,NA,"2.6298","0.9787","0.3722","0","0.0058","0.0149","0.0212","0.0296","0.1397"
"Mixture","UCE-1005","TPM2u+FO+G4","G4",-9344.9376,-9524.5049,"TPM2u{0.6871,3.1681,0.6871,1,3.1681,1}+FO{0.329,0.1981,0.1842,0.2887}",18963.8752,18991.9256,19690.5017,"Mixture",1486,67,0.481157469717362,"31.76%",978,"0.1145;0.0825;0.0628;0.1067;0.6335","0.13;0.1918;0.6783","0.0869;0.238;0.5607",3,92,0.7077,5.2325,0.8444,21,9.7568,NA,"4.2471","1.2663","0.2982","0","0","0.0121","0.0325","0.0315","0.6289"
"One_class","UCE-1005","TPM2u+F+G4","G4",-9353.6594,-9524.5049,"TPM2u{0.6831,3.1317,0.6831,1,3.1317,1}+F{0.3108,0.2258,0.1734,0.29}",18981.3188,19009.3692,19707.9453,"Mixture",1486,67,0.481157469717362,"31.76%",978,"0.1145;0.0825;0.0628;0.1067;0.6335","0.13;0.1918;0.6783","0.0869;0.238;0.5607",3,90,0.6923,5.1182,0.8283,19,9.7623,NA,"4.2893","1.0568","0.2464","0","0","0.0121","0.0322","0.0298","0.6138"
"Mixture","UCE-1010","TPM2u+FO+G4","G4",-9449.5348,-8112.4102,"TPM2u{0.6714,2.8388,0.6714,1,2.8388,1}+FO{0.3297,0.1909,0.1907,0.2887}",19165.0696,19194.5031,19857.2214,"Mixture",1345,65,0.455762081784387,"34.87%",864,"0.129;0.0774;0.0757;0.1211;0.5968","0.1329;0.1404;0.0816;0.3688;0.1733;0.0949;0.0081","0.0522;0.2021;0.3357;0.5305;0.7408;0.8921;1.0954",7,88,0.6984,3.3192,0.4646,22,6.3901,NA,"3.7596","1.141","0.3035","0","0","0.016","0.0297","0.0418","0.2073"
"One_class","UCE-1010","TPM2u+F+G4","G4",-9451.0908,-8112.4102,"TPM2u{0.6863,2.8895,0.6863,1,2.8895,1}+F{0.3189,0.1928,0.1889,0.2994}",19168.1816,19197.6151,19860.3335,"Mixture",1345,65,0.455762081784387,"34.87%",864,"0.129;0.0774;0.0757;0.1211;0.5968","0.1329;0.1404;0.0816;0.3688;0.1733;0.0949;0.0081","0.0522;0.2021;0.3357;0.5305;0.7408;0.8921;1.0954",7,88,0.6984,3.3704,0.468,21,6.0398,NA,"3.8005","1.2093","0.3182","0","0","0.0161","0.0294","0.0407","0.2063"
"Mixture","UCE-1021","HKY+FO+R2","R2",-5847.7909,-7160.717,"HKY{1,2.637,1,1,2.637,1}+FO{0.32,0.2052,0.1727,0.3021}",11921.5819,11942.5453,12509.4826,"Mixture",1343,56,0.648548026805659,"16.90%",557,"0.1303;0.081;0.0844;0.1146;0.5896","0.2812;0.0804;0.0287;0.301;0.3086","0.0844;0.2456;0.3541;0.5189;0.6521",5,94,0.8868,4.2146,0.5642,22,12.0429,NA,"1.2407","0.5759","0.4642","0","0","0.0026","0.0115","0.0174","0.1128"
"One_class","UCE-1021","HKY+F+R2","R2",-5855.7995,-7160.717,"HKY{1,2.5662,1,1,2.5662,1}+F{0.3165,0.1983,0.2061,0.2791}",11937.5991,11958.5624,12525.4998,"Mixture",1343,56,0.648548026805659,"16.90%",557,"0.1303;0.081;0.0844;0.1146;0.5896","0.2812;0.0804;0.0287;0.301;0.3086","0.0844;0.2456;0.3541;0.5189;0.6521",5,96,0.9057,4.2154,0.5632,22,12.881,NA,"1.2395","0.5548","0.4476","0","0","0.002","0.0115","0.0173","0.1131"
"Mixture","UCE-1003","MIX{TPM3u+FO,TNe+FO,TVM+FO}+G","G4",-9180.6783,-9191.9699,"TPM3u{1.3386,1.84149}+FO{0.390154,0.0852332,0.293433,0.23118};TNe{4.39861,16.7917}+FQ;TVM{0.472731,0.303761,0.117028,1.71899}+FO{0.170752,0.255748,0.0451369,0.528363}",18669.3566,18702.929,19495.3017,"Mixture",1577,71,0.580849714648066,"28.28%",829,"0.089;0.0675;0.0778;0.0985;0.6672","0.3777;0.1574;0.4649","0.0915;0.5055;0.6357",3,108,0.7941,4.4016,0.4732,27,8.1486,NA,"3.6522","1.4212","0.3891","0","0","0.0117","0.0229","0.0289","0.2005"
"One_class","UCE-1003","TN+F+G4","G4",-9237.5304,-9191.9699,"TN{1,2.6001,1,1,4.1563,1}+F{0.2667,0.2047,0.2342,0.2945}",18761.0608,18789.8005,19528.0098,"Mixture",1577,71,0.580849714648066,"28.28%",829,"0.089;0.0675;0.0778;0.0985;0.6672","0.3777;0.1574;0.4649","0.0915;0.5055;0.6357",3,108,0.7941,4.3931,0.4826,28,10.2083,NA,"3.1544","1.2056","0.3822","0","0","0.0127","0.0265","0.0332","0.2637"
"Mixture","UCE-1037","MIX{TPM2u+FO,TN+FO}+G","G4",-7148.9217,-7724.911,"TPM2u{0.188979,0.114318}+FO{0.900977,0.0247846,0.0588603,0.0153785};TN{5.53242,3.3578}+FO{0.237105,0.176212,0.251275,0.335408}",14391.8434,14395.0119,14640.6791,"Mixture",1472,19,0.59375,"24.25%",662,"0.2523;0.1081;0.1491;0.224;0.2666","0.316;0.0757;0.1002;0.0603;0.1686;0.0969;0.1033;0.0471;0.032","0.0217;0.0217;0.2637;0.2637;0.4757;0.7206;0.9705;1.2376;1.5123",9,12,0.3529,1.6993,0.441,3,3.7486,NA,"1.4439","0.6613","0.458","0","0.0105","0.0257","0.0362","0.0463","0.2182"
"One_class","UCE-1037","TVM+F+G4","G4",-7165.7903,-7724.911,"TVM{0.9802,3.5283,0.5508,1.5322,3.5283,1}+F{0.344,0.1473,0.2032,0.3054}",14417.5807,14420.2305,14645.2389,"Mixture",1472,19,0.59375,"24.25%",662,"0.2523;0.1081;0.1491;0.224;0.2666","0.316;0.0757;0.1002;0.0603;0.1686;0.0969;0.1033;0.0471;0.032","0.0217;0.0217;0.2637;0.2637;0.4757;0.7206;0.9705;1.2376;1.5123",9,12,0.3529,1.7919,0.4613,2,4.2686,NA,"1.3042","0.5667","0.4345","0","0.0114","0.0273","0.0401","0.0475","0.2649"
"Mixture","UCE-103","HKY+FO+I+G4","I+G4",-11970.1313,-12902.3898,"HKY{1,3.0123,1,1,3.0123,1}+FO{0.3073,0.1914,0.208,0.2933}",24046.2627,24049.0159,24346.5227,"Mixture",2133,25,0.478668541959681,"28.41%",1099,"0.1463;0.087;0.0992;0.1356;0.5319","0.1488;0.4947;0.3565","0.0206;0.3631;0.9391",3,6,0.1304,1.2143,0.3526,2,1.7325,NA,"2.931","1.1048","0.3769","0","0.0109","0.0294","0.061","0.0697","0.4109"
"One_class","UCE-103","HKY+F+I+G4","I+G4",-11970.8906,-12902.3898,"HKY{1,3.0157,1,1,3.0157,1}+F{0.3122,0.1862,0.2121,0.2895}",24047.7812,24050.5344,24348.0413,"Mixture",2133,25,0.478668541959681,"28.41%",1099,"0.1463;0.087;0.0992;0.1356;0.5319","0.1488;0.4947;0.3565","0.0206;0.3631;0.9391",3,6,0.1304,1.2138,0.3521,2,1.7308,NA,"2.9303","1.1054","0.3772","0","0.011","0.0294","0.0611","0.0697","0.4116"
"Mixture","UCE-1008","MIX{K3Pu+FO,K80+FO,JC+FO}+I+G","I+G4",-8500.019,-7235.8889,"K3Pu{1.63399,0.144741}+FO{0.410777,0.110452,0.100572,0.378199};K2P{10.8941}+FQ;JC",17338.0381,17389.7572,18209.3,"Mixture",1281,81,0.615144418423107,"28.96%",659,"0.1523;0.1041;0.0798;0.1315;0.5324","0.2867;0.0638;0.2612;0.3884","0.1212;0.5106;0.4934;0.6903",4,132,0.8354,4.7441,0.5156,32,11.3613,NA,"2.8685","1.0115","0.3526","0","0.0039","0.0102","0.0177","0.022","0.1579"
"One_class","UCE-1008","TPM2u+F+G4","G4",-8539.5206,-7235.8889,"TPM2u{0.6249,3.1439,0.6249,1,3.1439,1}+F{0.3252,0.2227,0.1712,0.2809}",17409.0412,17458.1713,18259.6816,"Mixture",1281,81,0.615144418423107,"28.96%",659,"0.1523;0.1041;0.0798;0.1315;0.5324","0.2867;0.0638;0.2612;0.3884","0.1212;0.5106;0.4934;0.6903",4,130,0.8228,4.7128,0.5155,33,11.8331,NA,"2.8275","0.9865","0.3489","0","0.0034","0.01","0.0179","0.0222","0.1726"
"Mixture","UCE-1036","MIX{HKY+FO,K80+FO}+I+R2","I+R2",-11345.5225,-11040.2239,"HKY{2.69726}+FO{0.314933,0.217358,0.178226,0.289482};K2P{100}+FQ",22939.045,22958.6157,23614.0593,"Mixture",1709,59,0.440608543007607,"37.51%",1106,"0.0861;0.0749;0.0563;0.089;0.6937","0.3249;0.0417;0.6334","0.0981;0.2804;0.6422",3,80,0.7018,3.9286,0.5113,18,5.1448,NA,"4.5746","1.7851","0.3902","0","0.0037","0.0217","0.0393","0.0454","0.387"
"One_class","UCE-1036","TN+F+I+G4","I+G4",-11367.8647,-11040.2239,"TN{1,3.7419,1,1,2.9054,1}+F{0.2795,0.2447,0.1873,0.2884}",22979.7295,22998.6526,23643.8565,"Mixture",1709,59,0.440608543007607,"37.51%",1106,"0.0861;0.0749;0.0563;0.089;0.6937","0.3249;0.0417;0.6334","0.0981;0.2804;0.6422",3,76,0.6667,3.9303,0.512,19,5.2121,NA,"4.5581","1.8904","0.4147","0","8e-04","0.0217","0.0394","0.0451","0.3923"
"Mixture","UCE-1040","HKY+FO+I+R2","I+R2",-9702.5464,-9263.7831,"HKY{1,2.776,1,1,2.776,1}+FO{0.2928,0.1708,0.2183,0.3181}",19597.0928,19609.9814,20109.813,"Mixture",1542,49,0.48313878080415,"32.17%",896,"0.1068;0.064;0.077;0.1066;0.6456","0.1087;0.1281;0.1583;0.0169;0.0367;0.2296;0.1339;0.1395;0.0483","0.0124;0.1221;0.2465;0.3149;0.3866;0.5279;0.7031;0.846;0.9955",9,78,0.8864,4.8539,0.7157,17,10.4293,NA,"4.4854","1.788","0.3986","0","0","0.0201","0.0497","0.0687","0.3577"
